,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3108.452407069011,27.84677396391205,-26.04,-16437.269915483714
1,2,-1923.2480973139202,22.298128851278562,-45.47,-16437.269915483714
2,3,-4278.151237619851,44.724956094554415,-62.7,-16437.269915483714
3,4,-3713.890322330456,46.69271457533092,-108.77,-17378.13398453045
4,5,-3829.1421790311915,45.79472934822456,-121.16,-17378.13398453045
5,6,-3395.4444921160007,43.71014559148861,-127.22,-20544.364971922398
6,7,-2960.4406876616467,41.835162523991485,-135.38,-20544.364971922398
7,8,-2784.5629061385234,39.93231164328801,-145.05,-20544.364971922398
8,9,-2905.326813251134,41.849836098108916,-162.55,-20544.364971922398
9,10,-2891.052733339627,41.25579837808083,-158.0,-20544.364971922398
10,11,-3268.935830311754,42.55331018623003,-161.64,-20544.364971922398
11,12,-3417.5142685307037,39.43750978117228,-141.03,-20544.364971922398
12,13,-3801.833861034041,38.626435604021374,-144.15,-27114.61901389307
13,14,-4079.7159534066404,37.9694743603785,-156.71,-27114.61901389307
14,15,-4208.876071924079,38.48214887797518,-163.23,-27114.61901389307
15,16,-4153.997101815116,37.21375301504081,-162.52,-27114.61901389307
16,17,-4651.276711954682,38.34542679287038,-159.36,-27114.61901389307
17,18,-4922.8012310991435,38.14972150811231,-161.7,-27114.61901389307
18,19,-4297.990231897392,36.16382538013671,-174.83,-30868.670541592415
19,20,-4129.814439720545,35.0271962298951,-175.16,-30868.670541592415
20,21,-4143.706836001406,34.59251845508558,-179.62,-30868.670541592415
21,22,-4261.664987387092,34.699650557778845,-183.66,-30868.670541592415
22,23,-4387.973998466373,35.09210964517914,-188.21,-30868.670541592415
23,24,-4739.269744402622,35.2385047811669,-181.63,-30868.670541592415
24,25,-4744.149711597163,34.80001260863905,-182.53,-30868.670541592415
25,26,-5009.404141450038,35.450450230618756,-186.27,-30868.670541592415
26,27,-5374.9722242009475,35.97344656918403,-187.39,-30868.670541592415
27,28,-5435.251280614332,36.049060432582316,-187.04,-30868.670541592415
28,29,-5359.748022793813,35.28812208497186,-182.44,-30868.670541592415
29,30,-5366.744039981904,35.66620089570317,-184.87,-30868.670541592415
30,31,-5296.048340519074,35.74858095985903,-197.47,-30868.670541592415
31,32,-5248.127190548767,33.83752128099916,-179.85,-30868.670541592415
32,33,-5442.778105496534,34.5863854451617,-185.15,-30868.670541592415
33,34,-5324.819300844942,33.78655167551371,-188.69,-30868.670541592415
34,35,-5253.694966548043,33.27088627218683,-186.01,-30868.670541592415
35,36,-5241.174114621554,33.293982693358856,-193.91,-30868.670541592415
36,37,-5185.804253752064,33.00249094752588,-188.95,-30868.670541592415
37,38,-5340.371750329635,33.481844398810146,-191.13,-30868.670541592415
38,39,-5380.075580264778,33.705167661221196,-194.45,-30868.670541592415
39,40,-5462.019116664623,34.988856601185205,-203.45,-30868.670541592415
40,41,-5418.058026873425,34.34014116112959,-200.67,-30868.670541592415
41,42,-5579.961849995673,33.734858838148746,-195.83,-30868.670541592415
42,43,-5627.196849686128,34.016536767268015,-197.52,-30868.670541592415
43,44,-5627.691660296643,34.06017097519871,-195.27,-30868.670541592415
44,45,-5604.432784383598,34.05280300248819,-195.2,-30868.670541592415
45,46,-5393.852547317972,33.461075658851954,-197.98,-30868.670541592415
46,47,-5172.4387411337075,32.50955754582027,-194.28,-30868.670541592415
47,48,-5403.031268903848,33.03214674049262,-196.6,-30868.670541592415
48,49,-5636.432677744946,33.0802465503262,-192.9,-30868.670541592415
49,50,-5576.4134233542845,33.04561516755557,-193.53,-30868.670541592415
50,51,-5661.944114151212,33.23332221918379,-194.95,-30868.670541592415
51,52,-5839.161941726785,34.20401409256128,-200.5,-30868.670541592415
52,53,-5554.882936308158,33.5138735791666,-199.5,-30868.670541592415
53,54,-5517.824525577321,32.655749699937815,-188.75,-30868.670541592415
54,55,-5619.485402785684,32.7014541955396,-192.07,-30868.670541592415
55,56,-5652.827392966614,33.06235193433405,-196.06,-30868.670541592415
56,57,-5671.076885963199,33.01537187956647,-195.49,-30868.670541592415
57,58,-5666.790082405255,33.445592625203474,-201.32,-30868.670541592415
58,59,-5734.621811883508,33.940778062469214,-205.13,-30868.670541592415
59,60,-5694.0422905846535,34.00635491861498,-214.33,-30868.670541592415
60,61,-5685.230408141887,33.73371354167113,-207.64,-30868.670541592415
61,62,-5685.234040780586,33.86925354500778,-207.9,-30868.670541592415
62,63,-6209.563590011182,34.60976546670524,-215.04,-43231.6869744938
63,64,-6275.831448262965,34.148246826281806,-210.91,-43231.6869744938
64,65,-6268.782576105258,33.92575872250342,-210.91,-43231.6869744938
65,66,-6185.599619415808,33.38896764698864,-209.88,-43231.6869744938
66,67,-6050.417613718244,32.70586898674297,-212.39,-43231.6869744938
67,68,-6066.183432297633,32.84902303172027,-213.12,-43231.6869744938
68,69,-6194.886579608184,33.2394586700053,-217.0,-43231.6869744938
69,70,-6196.121307797503,33.36067464240707,-217.65,-43231.6869744938
70,71,-6335.067030835862,32.42812517465789,-215.46,-43231.6869744938
71,72,-6335.226367738807,32.425697641571396,-215.46,-43231.6869744938
72,73,-6271.273407690841,31.991997198779412,-210.05,-43231.6869744938
73,74,-6327.261220203954,32.10587335450554,-210.25,-43231.6869744938
74,75,-6150.477515412811,30.927873667319435,-204.04,-43231.6869744938
75,76,-6045.814581129703,29.997656809045804,-201.1,-43231.6869744938
