,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-1538.1409953218263,29.665894937299573,-25.31,-7811.303952186584
1,2,-953.2464881369687,21.187767398862448,-46.34,-7811.303952186584
2,3,-1902.8075023822664,37.14463933380814,-79.52,-8385.826552127897
3,4,-1902.5181286535656,39.13848697861346,-112.9,-10867.617234017373
4,5,-2620.2819377000255,44.21602107695972,-146.13,-20756.13720891702
5,6,-2475.1540497311016,42.374326493562734,-156.11,-20756.13720891702
6,7,-2617.994871113327,39.793891112404495,-153.25,-20756.13720891702
7,8,-2731.2124841314944,39.37836869862871,-172.45,-20756.13720891702
8,9,-2896.5821179778823,39.30575684355042,-186.79,-30778.117276585283
9,10,-2681.1909246788737,36.59916024732765,-178.02,-30778.117276585283
10,11,-2639.9811156158667,34.64221927524365,-176.16,-30778.117276585283
11,12,-2759.695659806936,36.25360721966678,-194.96,-30778.117276585283
12,13,-3120.151525186528,38.8600103012818,-206.45,-30778.117276585283
13,14,-3066.594981554451,38.107243512986116,-224.05,-30778.117276585283
14,15,-3144.8593284859303,38.40688163053551,-233.68,-30778.117276585283
15,16,-3295.2450267265613,38.72163695151472,-235.82,-30778.117276585283
16,17,-3482.03850150511,38.12500044909804,-223.72,-30778.117276585283
17,18,-3600.3970855436496,37.67461145304988,-228.68,-30778.117276585283
18,19,-3550.2505202012235,37.38037133031364,-228.95,-30778.117276585283
19,20,-3696.1443003572967,37.02369252202475,-224.88,-30778.117276585283
20,21,-3735.278922726732,37.745714490537424,-233.77,-30778.117276585283
21,22,-3704.5245543376373,37.94791043385834,-243.41,-30778.117276585283
22,23,-3714.337908171791,38.00597476866735,-246.08,-30778.117276585283
23,24,-3752.245325157234,37.33407352264915,-243.59,-30778.117276585283
24,25,-3459.96782104027,35.75783520242458,-256.32,-35141.46339884466
25,26,-3507.235754670594,34.37649167347137,-245.04,-35141.46339884466
26,27,-3298.181011760922,32.75132025269941,-241.41,-35141.46339884466
27,28,-3175.1901910052165,31.87052651082317,-243.11,-35141.46339884466
28,29,-3169.9617429862737,32.569668905428095,-253.5,-35141.46339884466
29,30,-3186.9409669764905,32.42371199058645,-256.37,-35141.46339884466
30,31,-3309.578946083489,32.340239373503344,-258.85,-35141.46339884466
31,32,-3261.359166962023,31.968974884312598,-259.16,-35141.46339884466
32,33,-3258.4329040156254,31.92509847551289,-262.66,-35141.46339884466
33,34,-3308.5880835215926,32.34581738183836,-264.66,-35141.46339884466
34,35,-3535.512699887812,32.339919811373235,-261.67,-35141.46339884466
35,36,-3548.817336677413,33.6718793055949,-274.49,-35141.46339884466
36,37,-3548.817336677413,33.6718793055949,-274.49,-35141.46339884466
37,38,-3760.8794733907816,34.54638136553191,-279.58,-35141.46339884466
38,39,-3611.630212963754,34.598918356399906,-282.4,-35141.46339884466
39,40,-3647.517120446095,34.23403806569918,-271.36,-35141.46339884466
40,41,-3773.5818134380556,34.51582939154221,-271.44,-35141.46339884466
41,42,-3858.496811741932,35.00046456224059,-274.67,-35141.46339884466
42,43,-3780.84810052161,34.817678855975906,-278.65,-35141.46339884466
43,44,-4065.173794507119,35.775797637206836,-279.13,-35141.46339884466
44,45,-4085.635459488563,35.97221835298319,-279.32,-35141.46339884466
45,46,-4110.815374061305,36.68639046848755,-289.6,-35141.46339884466
46,47,-4132.321327226175,36.30439089202972,-288.85,-35141.46339884466
47,48,-4491.781073836741,36.076113678949945,-286.76,-35141.46339884466
48,49,-4542.52073047436,35.69977082542196,-284.17,-35141.46339884466
49,50,-4567.814630848804,35.73380682302087,-284.57,-35141.46339884466
50,51,-4781.456851492761,36.24349756697256,-285.77,-35141.46339884466
51,52,-4785.8515809226465,37.22817927057131,-298.25,-35141.46339884466
52,53,-5117.577841006508,36.883258904491925,-294.51,-35141.46339884466
53,54,-4970.535077410152,36.423136585134145,-294.47,-35141.46339884466
54,55,-4954.614675256633,35.88973506281505,-289.43,-35141.46339884466
55,56,-4970.533809563724,35.74050716867528,-289.07,-35141.46339884466
56,57,-4921.391308687433,34.81714368719631,-283.81,-35141.46339884466
57,58,-4195.734823382951,32.41232349231114,-286.78,-35141.46339884466
58,59,-4217.163340081399,32.043883271073966,-284.48,-35141.46339884466
59,60,-4923.038381405951,32.569484084687105,-287.35,-35141.46339884466
60,61,-4923.171927441546,32.61737792047415,-288.49,-35141.46339884466
61,62,-4902.8459040294365,32.49008893186179,-290.43,-35141.46339884466
62,63,-5003.475750893771,32.898374450955174,-293.68,-35141.46339884466
63,64,-5004.223338008662,33.09762430493651,-294.62,-35141.46339884466
64,65,-4983.045015849887,32.88391808469261,-293.0,-35141.46339884466
65,66,-4973.137666344486,32.80241905803072,-291.4,-35141.46339884466
66,67,-4976.41244905136,33.29224850467729,-298.73,-35141.46339884466
67,68,-5055.414562157734,33.78131927169839,-303.8,-35141.46339884466
68,69,-5055.771156245502,33.80636928875017,-303.91,-35141.46339884466
69,70,-5048.771171659783,33.01092499175015,-292.84,-35141.46339884466
70,71,-4988.3919737515735,32.72637944565465,-293.15,-35141.46339884466
71,72,-5067.67840382615,32.969425880078006,-295.37,-35141.46339884466
72,73,-5065.054776081122,32.52334771044191,-288.44,-35141.46339884466
73,74,-5065.354414998237,32.791657753866524,-291.71,-35141.46339884466
74,75,-5097.020390021801,32.89393782437739,-298.04,-35141.46339884466
75,76,-5067.112587035601,32.641827675819115,-292.1,-35141.46339884466
76,77,-5105.2103867444475,32.83600035194813,-292.81,-35141.46339884466
77,78,-5086.561403125614,33.241825489666574,-292.94,-35141.46339884466
78,79,-5082.80655000129,32.8271088733612,-289.3,-35141.46339884466
79,80,-5068.421893616615,32.76580452105677,-289.32,-35141.46339884466
80,81,-5108.189937983489,33.252337046564215,-292.84,-35141.46339884466
81,82,-4985.3931165939875,31.895203406719887,-292.06,-35141.46339884466
82,83,-4840.481927598934,31.760110402868236,-294.91,-35141.46339884466
83,84,-4877.839260503333,31.764534269451897,-291.6,-35141.46339884466
84,85,-4881.021561510124,31.983296920832075,-301.23,-35141.46339884466
85,86,-4914.894462945175,29.88548121792569,-284.27,-35141.46339884466
86,87,-4883.112086536792,29.667210282642568,-279.99,-35141.46339884466
87,88,-4886.3807056102,29.59058965862766,-285.77,-35141.46339884466
88,89,-4850.661239435758,29.154014971078666,-282.03,-35141.46339884466
89,90,-4852.451720596078,29.17367432315786,-283.23,-35141.46339884466
90,91,-4474.094542669398,28.329327401891472,-281.38,-35141.46339884466
91,92,-4475.708501194272,28.441270813105707,-282.15,-35141.46339884466
92,93,-4477.046223866282,28.752652063633512,-286.89,-35141.46339884466
93,94,-5158.758623695468,28.897743282102624,-287.43,-35141.46339884466
94,95,-5159.660615746183,28.935596984963276,-285.42,-35141.46339884466
95,96,-5091.390248301355,27.52700382777123,-272.27,-35141.46339884466
96,97,-5789.914158425218,28.011413407648757,-275.9,-35141.46339884466
97,98,-5669.388883966333,27.465367161949462,-271.8,-35141.46339884466
98,99,-5441.774432792898,27.051769559224887,-274.24,-35141.46339884466
99,100,-5906.6771178833405,27.332256124169053,-278.24,-35141.46339884466
100,101,-5906.909081678431,27.253158316304916,-279.44,-35141.46339884466
101,102,-5972.619082492781,27.431125393352875,-284.92,-35141.46339884466
102,103,-5884.367765090498,27.55639613928703,-288.04,-35141.46339884466
103,104,-5494.278355295274,27.080829248540383,-286.97,-35141.46339884466
104,105,-5168.420437576992,26.018965023630127,-277.9,-35141.46339884466
105,106,-5518.014546930558,26.25820466052966,-278.92,-35141.46339884466
106,107,-4843.318604025521,25.95415667448002,-279.98,-35141.46339884466
107,108,-4843.418062296506,25.78126933384528,-278.65,-35141.46339884466
108,109,-4185.455173491069,25.782582369934907,-284.74,-35141.46339884466
109,110,-4357.3870685624715,26.27164292513294,-291.47,-35141.46339884466
110,111,-4033.763464050923,26.108617090238873,-292.57,-35141.46339884466
111,112,-4043.1540844127153,26.116387536119895,-292.29,-35141.46339884466
112,113,-4049.145956054969,26.07999532467808,-290.76,-35141.46339884466
113,114,-4049.2710995917023,25.94088053670276,-289.78,-35141.46339884466
114,115,-4411.4123397050225,26.502020349049126,-294.45,-35141.46339884466
115,116,-4369.148512082382,26.684745638398258,-296.37,-35141.46339884466
116,117,-4936.529692955871,27.142007684292512,-298.29,-35141.46339884466
117,118,-4285.462290194875,27.117480232920766,-304.17,-35141.46339884466
118,119,-4257.859882514556,26.796729271564704,-299.4,-35141.46339884466
119,120,-4290.797649949617,27.1545806236447,-303.68,-35141.46339884466
120,121,-3993.582823383872,27.13742274814428,-303.58,-35141.46339884466
121,122,-3962.5720882826076,27.01948914911733,-302.34,-35141.46339884466
122,123,-3962.5720882826076,27.01948914911733,-302.34,-35141.46339884466
123,124,-3938.2170704836276,27.130243463030425,-308.28,-35141.46339884466
124,125,-3948.8283163869423,27.11271169994333,-308.44,-37772.73399108523
125,126,-3756.5686429368016,27.74269151931894,-319.84,-37772.73399108523
126,127,-3760.589695467618,27.54802825157843,-317.92,-37772.73399108523
127,128,-3760.589695467618,27.54802825157843,-317.92,-37772.73399108523
128,129,-4357.754924407677,27.66833138014711,-313.15,-37772.73399108523
129,130,-4357.754924407677,27.66833138014711,-313.15,-37772.73399108523
130,131,-4358.669537073504,27.668332366019435,-313.3,-37772.73399108523
131,132,-4358.669537073504,27.668332366019435,-313.3,-37772.73399108523
132,133,-4654.634098863596,28.107689862091423,-316.6,-37772.73399108523
133,134,-4932.29784924473,27.755322925462693,-310.43,-37772.73399108523
134,135,-4932.29784924473,27.755322925462693,-310.43,-37772.73399108523
135,136,-4932.448338385567,27.831987865678265,-312.13,-37772.73399108523
136,137,-4932.448338385567,27.831987865678265,-312.13,-37772.73399108523
137,138,-4942.531825801788,28.448293496240794,-319.98,-37772.73399108523
138,139,-4941.549940147575,28.36534936341638,-319.15,-37772.73399108523
139,140,-5197.711413124338,28.66982298391284,-322.04,-37772.73399108523
140,141,-6011.575660820476,29.26727792456167,-326.2,-37772.73399108523
141,142,-6346.982042987473,29.727093761577386,-333.89,-37772.73399108523
142,143,-4359.811194160106,28.927973282592305,-329.76,-41612.18348474508
143,144,-3885.547150429337,28.87118681421496,-340.66,-41612.18348474508
144,145,-3889.283081022655,28.543441110961922,-339.33,-41612.18348474508
145,146,-3969.856227996508,28.872025741039707,-341.76,-41612.18348474508
146,147,-3943.7080125434654,29.176218878455686,-346.58,-41612.18348474508
147,148,-3904.144187966996,29.53307692182256,-359.03,-41612.18348474508
148,149,-3903.653503269788,29.65786486049056,-359.82,-41612.18348474508
149,150,-4531.453469548762,29.842711066839023,-356.0,-41612.18348474508
150,151,-4586.942685647175,30.143961090611594,-364.67,-41612.18348474508
151,152,-4647.523367767996,29.951223134714418,-359.47,-41612.18348474508
152,153,-4876.246583103366,29.990342268106318,-358.61,-41612.18348474508
153,154,-4851.622401630754,29.777791570683902,-353.12,-41612.18348474508
154,155,-5559.081202941208,30.153134642352562,-352.59,-41612.18348474508
155,156,-5753.170053742967,30.120951399418036,-347.56,-41612.18348474508
156,157,-6216.06363587741,30.51991069892274,-351.12,-41612.18348474508
157,158,-6220.198568198846,30.62608806894684,-352.65,-41612.18348474508
158,159,-6488.814003706622,31.02765881781885,-356.08,-41612.18348474508
159,160,-6448.186559822123,31.25677845239024,-356.3,-47298.90690580899
160,161,-6187.165821825769,31.14958508940919,-356.16,-47298.90690580899
161,162,-6187.165821825769,31.14958508940919,-356.16,-47298.90690580899
162,163,-6499.607171205166,30.76853698078108,-351.88,-47298.90690580899
163,164,-5469.734304569312,29.969282069730227,-358.52,-47298.90690580899
164,165,-5798.524069985951,30.843752597824363,-366.91,-47298.90690580899
165,166,-5911.73563081254,30.849327801828053,-371.84,-47298.90690580899
166,167,-5989.586343434976,31.125094890498914,-367.13,-47298.90690580899
167,168,-5940.617557192821,31.146855934518108,-367.52,-47298.90690580899
168,169,-5929.993672678258,31.099364167055175,-368.07,-47298.90690580899
169,170,-5929.993672678258,31.099364167055175,-368.07,-47298.90690580899
170,171,-6341.564895073584,31.659301750170883,-374.84,-47298.90690580899
171,172,-6770.287330395923,31.743392838242425,-372.19,-47298.90690580899
172,173,-6002.138337552513,31.348651922819762,-373.84,-47298.90690580899
173,174,-5944.189594357329,30.677800472042023,-367.02,-47298.90690580899
174,175,-6294.72802349276,30.93829000516881,-369.68,-47298.90690580899
175,176,-6311.470110065008,30.885455674613105,-367.57,-47298.90690580899
176,177,-5877.644635201803,30.670696944217536,-365.96,-48542.96153646952
177,178,-5723.953391804173,30.766383527562496,-370.71,-48542.96153646952
178,179,-5651.538513621163,30.59029122165077,-371.65,-48542.96153646952
179,180,-4968.70949786892,30.33252505272777,-374.91,-48542.96153646952
180,181,-5650.069936547565,31.406113928912408,-388.88,-48542.96153646952
181,182,-5899.65606638722,31.236358152348245,-384.29,-48542.96153646952
182,183,-6149.759144622384,29.93054472948432,-363.21,-48542.96153646952
183,184,-6011.345785850575,30.45228586035916,-371.72,-48542.96153646952
184,185,-6116.287482121832,31.05986109910699,-379.26,-48542.96153646952
185,186,-5957.323844372486,30.933246420362693,-379.35,-48542.96153646952
186,187,-6169.955302866849,30.72504022491043,-374.48,-48542.96153646952
187,188,-6163.528588795905,30.772178035799907,-376.46,-48542.96153646952
188,189,-6163.528588795904,30.772178035799904,-376.46,-48542.96153646952
189,190,-6326.809441090427,30.868368797634712,-376.29,-48542.96153646952
190,191,-6328.921440161967,30.86836828786314,-376.4,-48542.96153646952
191,192,-6184.468145891321,30.386892916044193,-373.68,-48542.96153646952
192,193,-6345.277746058775,30.59954531131218,-376.66,-48542.96153646952
193,194,-6482.904828208385,30.622636333833828,-376.68,-48542.96153646952
194,195,-6536.814605949279,30.628034698635407,-376.29,-48542.96153646952
195,196,-6789.120128467297,30.820808514681634,-375.68,-48542.96153646952
196,197,-6789.567170688372,30.82281346455534,-375.7,-48542.96153646952
197,198,-6854.730976640593,30.7961063958181,-375.84,-48542.96153646952
198,199,-6634.689735293775,30.81704124540041,-377.34,-48542.96153646952
199,200,-5591.959357171947,31.103501103075473,-381.81,-48542.96153646952
200,201,-5740.6140906693545,30.5932954266596,-375.93,-48542.96153646952
201,202,-5752.964312505658,30.778450391515957,-376.81,-48542.96153646952
202,203,-5855.847619401561,30.38952985813751,-373.47,-48542.96153646952
203,204,-5749.636558916978,30.280794060796534,-371.47,-48542.96153646952
204,205,-6553.417060856046,30.809070863649435,-376.56,-48542.96153646952
205,206,-6372.359684712227,31.36049455713804,-383.1,-48542.96153646952
206,207,-6139.409737480476,31.27630395172602,-382.62,-48542.96153646952
207,208,-6139.409737480477,31.276303951726028,-382.62,-48542.96153646952
208,209,-6326.214222650423,30.96020974696879,-378.8,-48542.96153646952
209,210,-6907.814418735606,31.607144643556666,-390.26,-48542.96153646952
210,211,-6890.999278877092,31.611419581096357,-390.42,-48542.96153646952
211,212,-6869.57125775384,31.192078577897455,-382.24,-48542.96153646952
212,213,-7043.158863313028,31.686478954715383,-388.33,-48542.96153646952
213,214,-7186.3934192959405,32.4142540813828,-403.03,-48542.96153646952
214,215,-7975.145018402204,32.354098681122984,-398.77,-48542.96153646952
215,216,-8176.341363037679,32.353763161397396,-396.88,-48542.96153646952
216,217,-8176.341363037678,32.353763161397396,-396.88,-48542.96153646952
217,218,-8410.728622870156,32.6330887442874,-400.02,-48542.96153646952
218,219,-8648.586938419498,32.91527971329799,-403.9,-48542.96153646952
219,220,-8908.466608788296,32.96319316116321,-405.7,-48542.96153646952
220,221,-8201.814704406363,31.962219229921416,-396.67,-48542.96153646952
221,222,-8364.406692314795,32.35328225371823,-401.78,-48542.96153646952
222,223,-8683.055277538348,32.28759786281482,-405.64,-48542.96153646952
223,224,-8590.558255640011,31.57616925311805,-394.99,-48542.96153646952
224,225,-8880.997948753646,32.06015819402641,-405.75,-48542.96153646952
225,226,-9077.124919585449,32.243515100550624,-407.8,-48542.96153646952
226,227,-9453.640323928255,32.564068952646686,-412.68,-48542.96153646952
227,228,-10361.402858004383,33.42802402060963,-425.43,-48542.96153646952
228,229,-10361.402858004381,33.42802402060963,-425.43,-48542.96153646952
229,230,-10129.901013823195,33.61667856422266,-427.14,-48542.96153646952
230,231,-9970.134952212165,33.74715084924824,-429.63,-48542.96153646952
231,232,-9874.12971114124,33.72019961499874,-430.69,-48542.96153646952
232,233,-9880.854693211684,33.68144436264949,-433.61,-48542.96153646952
233,234,-10045.960642010667,34.07801800318327,-437.74,-48542.96153646952
234,235,-9755.836795816273,33.69543995223458,-433.64,-48542.96153646952
235,236,-9926.835056340893,33.602601986778694,-434.83,-48542.96153646952
236,237,-9612.648789926066,33.58633479273191,-436.16,-48542.96153646952
237,238,-9991.770495659433,33.49164153843202,-434.05,-48542.96153646952
238,239,-10237.918833284584,33.698337729716194,-437.07,-48542.96153646952
239,240,-10313.336795513087,34.030556341467516,-441.97,-48542.96153646952
240,241,-10565.725661235496,34.73894410698018,-450.42,-48542.96153646952
241,242,-10582.543492556773,34.62858828493018,-447.72,-48542.96153646952
242,243,-10524.306941973193,34.22369797487801,-443.69,-48542.96153646952
243,244,-9965.887724515382,34.227930903625655,-448.67,-48542.96153646952
244,245,-10361.253350722773,33.68322784630485,-431.89,-48542.96153646952
245,246,-10275.771724280734,34.02822345527466,-437.66,-48542.96153646952
246,247,-10268.134069692076,33.42733951346426,-429.94,-48542.96153646952
247,248,-10859.914670105443,33.63248719105169,-432.15,-48542.96153646952
248,249,-11258.830030498106,33.71913836756643,-433.9,-48542.96153646952
249,250,-11383.482053015592,33.111491437969455,-426.73,-48542.96153646952
250,251,-11484.296888118102,33.47648352205249,-432.06,-48542.96153646952
251,252,-11351.76569080726,33.49938914662404,-433.33,-48542.96153646952
252,253,-10932.871981018798,33.81471935783295,-438.11,-48542.96153646952
253,254,-11396.30253291322,33.75295267946821,-436.1,-48542.96153646952
254,255,-11161.52375166451,33.75879919112474,-437.39,-48542.96153646952
255,256,-10847.960052263597,33.671610291543836,-437.84,-48542.96153646952
256,257,-10847.960052263597,33.671610291543836,-437.84,-48542.96153646952
257,258,-10622.079803070172,33.65658911532389,-438.44,-48542.96153646952
258,259,-10573.345903320062,33.571389537575435,-437.03,-48542.96153646952
259,260,-10485.321736812528,33.73331686651804,-440.84,-48542.96153646952
260,261,-10473.162517865165,33.77180557525608,-441.21,-48542.96153646952
261,262,-10473.162517865165,33.77180557525608,-441.21,-48542.96153646952
262,263,-11197.302739148341,33.86601214762881,-441.53,-48542.96153646952
263,264,-11197.302739148341,33.866012147628815,-441.53,-48542.96153646952
264,265,-11326.194749080374,33.833494875714884,-438.79,-48542.96153646952
265,266,-11393.438501407698,33.70262125975276,-438.06,-48542.96153646952
266,267,-11204.304996457871,33.77068467750441,-439.49,-48542.96153646952
267,268,-11009.698389761134,33.392471365952666,-435.38,-48542.96153646952
268,269,-11360.492298040157,33.66108476933479,-438.07,-48542.96153646952
269,270,-11714.11044031123,33.70034333238433,-437.75,-48542.96153646952
270,271,-11973.510085174355,34.1848541951172,-441.05,-48542.96153646952
271,272,-11970.035903387688,34.1906015373106,-441.25,-48542.96153646952
272,273,-12009.014333203399,34.633065954091805,-451.37,-48542.96153646952
273,274,-12009.0143332034,34.63306595409181,-451.37,-48542.96153646952
274,275,-11832.2814058331,34.64437459648133,-452.84,-48542.96153646952
275,276,-11836.70543985477,34.62377545580428,-452.89,-48542.96153646952
276,277,-12037.958409836378,34.5251700539997,-451.63,-48542.96153646952
277,278,-11837.391106983778,34.53184765226695,-453.0,-48542.96153646952
278,279,-11949.035804749368,34.551431706112574,-452.78,-48542.96153646952
279,280,-11857.491125777757,34.274910628639994,-448.41,-48542.96153646952
280,281,-12124.011277332253,34.241153483578366,-446.91,-48542.96153646952
281,282,-12125.407875258685,34.3165933968537,-447.95,-48542.96153646952
282,283,-12790.045745936357,34.455210619330025,-452.92,-48542.96153646952
283,284,-12689.201665197172,34.31128819427362,-453.2,-48542.96153646952
284,285,-12608.101269670613,34.34485477519597,-453.66,-48542.96153646952
285,286,-12610.914240603608,34.43310849605178,-457.58,-48542.96153646952
286,287,-12615.585897917505,34.4331084636171,-457.62,-48542.96153646952
287,288,-13139.93867010551,34.59712278602118,-456.78,-48542.96153646952
288,289,-12930.010552807938,34.35408131132964,-452.82,-48542.96153646952
289,290,-13269.155351468455,34.47977525051224,-453.71,-48542.96153646952
290,291,-13306.794963272057,34.417976456485796,-452.73,-48542.96153646952
291,292,-13394.259743650675,34.989326936003735,-459.96,-48542.96153646952
292,293,-13601.668516746806,34.84595910640463,-459.15,-48542.96153646952
293,294,-13775.731558154448,34.986131737798274,-459.88,-48542.96153646952
294,295,-13775.731558154452,34.986131737798274,-459.88,-48542.96153646952
295,296,-13749.13815900523,35.06243474351416,-460.58,-48542.96153646952
296,297,-13013.917182178056,34.81686578502828,-459.87,-48542.96153646952
297,298,-12985.641175303334,34.76542487143546,-460.07,-48542.96153646952
