,generation,objectives,decision_variables,best
0,1,"[[-5.31332506e+03  5.65526808e+01 -6.50000000e+01]
 [-1.93241854e+04  5.68273726e+01 -4.90000000e+01]
 [-2.44143545e+01  1.02811765e+01 -2.60000000e+01]
 [-3.97192061e+02  3.88310768e+01 -1.71000000e+02]
 [-5.81349690e+02  3.74914327e+01 -3.00000000e+00]
 [-1.06563682e+01  0.00000000e+00 -2.00000000e+00]
 [-9.50820144e+03  6.93691182e+01 -7.20000000e+01]
 [-1.27961982e+03  5.11822466e+01 -4.49000000e+02]
 [-1.04370392e+03  4.14870675e+01 -5.63000000e+02]
 [-1.33558997e+03  4.35347496e+01 -3.04000000e+02]
 [-1.86124681e+04  5.68273507e+01 -3.50000000e+01]
 [-5.45602495e+02  3.74911676e+01 -3.00000000e+00]
 [-3.82576572e+01  2.50538765e+01 -2.40000000e+01]
 [-2.91292886e+03  6.82047793e+01 -4.89000000e+02]
 [-4.52295314e+01  4.25552382e+00 -1.20000000e+01]
 [-1.87725668e+01  1.30475131e+00 -1.00000000e+01]
 [-2.69161951e+03  5.62900067e+01 -3.43000000e+02]
 [-4.26892421e+03  5.95744674e+01 -5.60000000e+01]
 [-7.93734266e+03  6.03720914e+01 -3.60000000e+01]
 [ 7.46394584e+00  1.25392131e+01 -1.40000000e+01]
 [-3.44585001e+00  4.03203429e+01 -1.21000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.37069407e+02  4.22340137e+01 -3.09000000e+02]
 [-4.51945837e+02  6.20059141e+01 -4.25000000e+02]
 [-1.03630704e+04  6.93689722e+01 -1.40000000e+01]
 [-9.22128890e+03  6.76599740e+01 -1.10000000e+01]
 [-1.29098321e+01  2.50919502e+01 -1.20000000e+01]
 [ 7.06165498e+00  1.64215632e+01 -1.00000000e+01]
 [-4.88350233e+02  6.88802888e+01 -2.05000000e+02]
 [-2.31066016e+03  7.00969255e+01 -2.58000000e+02]
 [-6.74484627e+03  6.99702282e+01 -2.10000000e+01]
 [-6.27407804e+03  7.41601073e+01 -3.00000000e+01]
 [ 2.13472874e+01  4.04842664e+01 -4.20000000e+01]
 [-9.92255368e+01  4.59477799e+01 -1.98000000e+02]
 [ 3.25255860e+01  4.33731634e+01 -4.40000000e+01]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-9.83399386e+03  6.93691340e+01 -2.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-1.02441018e+04  6.93691388e+01 -3.00000000e+00]
 [-7.55988346e+02  6.93688933e+01 -4.00000000e+00]
 [-6.80101250e+02  6.93669628e+01 -6.00000000e+00]
 [ 1.30023882e+01  4.55446249e+01 -6.00000000e+00]
 [-1.66567664e+02  6.93690098e+01 -1.70000000e+01]
 [-6.48584599e+03  7.62876083e+01 -2.10000000e+01]
 [-5.51542570e+01  5.00148636e+01 -1.01000000e+02]
 [-9.27591275e+03  6.93691360e+01 -2.00000000e+00]
 [-9.00079276e+03  6.93691389e+01 -3.00000000e+00]
 [-1.30200053e+01  6.93686934e+01 -2.00000000e+00]
 [-8.83899225e+03  6.93691394e+01 -3.00000000e+00]]","[[ 0.98236868  0.94210074 -0.06466412 ...  0.26110469 -0.85188486
   0.33818741]
 [ 0.3415213   0.74475998  0.16952743 ... -0.67893958  0.74057172
   0.67485964]
 [-0.20723181 -0.7870763  -0.0311947  ...  0.70791472 -0.72835239
   0.19545233]
 ...
 [ 0.76440431 -0.40826766  0.20528201 ...  0.43403677 -0.84899724
   0.05150439]
 [-0.78548218 -0.70050677 -0.85634394 ...  0.59884502 -0.41536974
  -0.47115065]
 [ 0.29094373  0.81251573  0.86705062 ...  0.69038408 -0.7584228
   0.96492033]]",-19324.18543861228
1,2,"[[-5.31332506e+03  5.65526808e+01 -6.50000000e+01]
 [-1.93241854e+04  5.68273726e+01 -4.90000000e+01]
 [-2.44143545e+01  1.02811765e+01 -2.60000000e+01]
 [-3.97192061e+02  3.88310768e+01 -1.71000000e+02]
 [-5.81349690e+02  3.74914327e+01 -3.00000000e+00]
 [-1.06563682e+01  0.00000000e+00 -2.00000000e+00]
 [-9.50820144e+03  6.93691182e+01 -7.20000000e+01]
 [-1.27961982e+03  5.11822466e+01 -4.49000000e+02]
 [-1.04370392e+03  4.14870675e+01 -5.63000000e+02]
 [-1.33558997e+03  4.35347496e+01 -3.04000000e+02]
 [-1.86124681e+04  5.68273507e+01 -3.50000000e+01]
 [-5.45602495e+02  3.74911676e+01 -3.00000000e+00]
 [-2.91292886e+03  6.82047793e+01 -4.89000000e+02]
 [-4.52295314e+01  4.25552382e+00 -1.20000000e+01]
 [-1.87725668e+01  1.30475131e+00 -1.00000000e+01]
 [-2.69161951e+03  5.62900067e+01 -3.43000000e+02]
 [-5.47288929e+03  6.93687560e+01 -9.30000000e+01]
 [-2.01347040e+04  5.68275863e+01 -3.50000000e+01]
 [-2.78535826e+03  4.93098515e+01 -1.61000000e+02]
 [-6.84472039e+02  3.74909663e+01 -2.00000000e+00]
 [-9.95096034e+03  6.03721279e+01 -6.50000000e+01]
 [-1.09662493e+02  1.78124227e+01 -8.50000000e+01]
 [-1.16983531e+03  4.77176469e+01 -5.14000000e+02]
 [-5.82884444e+01  1.12540581e+01 -1.60000000e+01]
 [-2.91292886e+03  6.82047793e+01 -4.89000000e+02]
 [-2.50758360e+01  1.46918263e+01 -1.80000000e+01]
 [-4.06796233e+03  6.06441722e+01 -9.00000000e+01]
 [-4.01882165e+00  8.37058156e-01 -4.00000000e+00]
 [-4.39788283e+01  2.68718302e+01 -1.69000000e+02]
 [-4.14583619e+01  1.70525247e+01 -4.90000000e+01]
 [-1.25682218e+04  5.68275863e+01 -3.10000000e+01]
 [ 7.46394584e+00  1.25392131e+01 -1.40000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-2.31066016e+03  7.00969255e+01 -2.58000000e+02]
 [-4.51945837e+02  6.20059141e+01 -4.25000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-4.26892421e+03  5.95744674e+01 -5.60000000e+01]
 [-3.44585001e+00  4.03203429e+01 -1.21000000e+02]
 [-1.37069407e+02  4.22340137e+01 -3.09000000e+02]
 [-4.88350233e+02  6.88802888e+01 -2.05000000e+02]
 [-7.93734266e+03  6.03720914e+01 -3.60000000e+01]
 [-9.51638182e+03  6.93690805e+01 -3.60000000e+01]
 [-3.82576572e+01  2.50538765e+01 -2.40000000e+01]
 [-1.18361303e+03  4.75447023e+01 -4.80000000e+01]
 [-1.58440167e+01  5.50439475e+00 -1.20000000e+01]
 [-5.26635846e+00  1.92359471e+01 -2.20000000e+01]
 [-3.96110889e+02  4.71455545e+01 -2.00000000e+00]
 [-3.99262500e+00  1.09573410e-01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[ 0.98236868  0.94210074 -0.06466412 ...  0.26110469 -0.85188486
   0.33818741]
 [ 0.3415213   0.74475998  0.16952743 ... -0.67893958  0.74057172
   0.67485964]
 [-0.20723181 -0.7870763  -0.0311947  ...  0.70791472 -0.72835239
   0.19545233]
 ...
 [ 0.22460837  0.1494974  -0.85702035 ... -0.26815999  0.75147612
  -0.4281564 ]
 [-0.44573377  0.01772562 -0.65238693 ... -0.19161398  0.34074723
  -0.46454456]
 [ 0.35479169 -0.84933688 -0.75751424 ... -0.54221758  0.91847175
  -0.43961551]]",-20134.703986159268
2,3,"[[-1.93241854e+04  5.68273726e+01 -4.90000000e+01]
 [-2.44143545e+01  1.02811765e+01 -2.60000000e+01]
 [-3.97192061e+02  3.88310768e+01 -1.71000000e+02]
 [-5.81349690e+02  3.74914327e+01 -3.00000000e+00]
 [-1.27961982e+03  5.11822466e+01 -4.49000000e+02]
 [-1.04370392e+03  4.14870675e+01 -5.63000000e+02]
 [-1.33558997e+03  4.35347496e+01 -3.04000000e+02]
 [-1.86124681e+04  5.68273507e+01 -3.50000000e+01]
 [-5.45602495e+02  3.74911676e+01 -3.00000000e+00]
 [-2.91292886e+03  6.82047793e+01 -4.89000000e+02]
 [-4.52295314e+01  4.25552382e+00 -1.20000000e+01]
 [-1.87725668e+01  1.30475131e+00 -1.00000000e+01]
 [-2.69161951e+03  5.62900067e+01 -3.43000000e+02]
 [-2.01347040e+04  5.68275863e+01 -3.50000000e+01]
 [-1.09662493e+02  1.78124227e+01 -8.50000000e+01]
 [-1.16983531e+03  4.77176469e+01 -5.14000000e+02]
 [-5.82884444e+01  1.12540581e+01 -1.60000000e+01]
 [-2.91292886e+03  6.82047793e+01 -4.89000000e+02]
 [-2.50758360e+01  1.46918263e+01 -1.80000000e+01]
 [-4.01882165e+00  8.37058156e-01 -4.00000000e+00]
 [-4.39788283e+01  2.68718302e+01 -1.69000000e+02]
 [-4.14583619e+01  1.70525247e+01 -4.90000000e+01]
 [-1.27874663e+04  4.66256916e+01 -1.62000000e+02]
 [-8.38601416e+02  3.74909264e+01 -2.00000000e+00]
 [-1.65527193e+02  2.58352918e+01 -2.00000000e+00]
 [-1.81656700e+01  0.00000000e+00 -2.00000000e+00]
 [-1.89852509e+03  5.06690463e+01 -3.17000000e+02]
 [-1.91836943e+02  3.83896949e+01 -4.10000000e+02]
 [-6.26397783e+03  4.62695689e+01 -7.90000000e+01]
 [-7.29097943e+03  5.21017907e+01 -2.87000000e+02]
 [-6.62975005e+02  3.74906418e+01 -2.00000000e+00]
 [-1.55640614e+04  5.68275789e+01 -3.20000000e+01]
 [-4.12721557e+02  4.53753902e+01 -3.00000000e+00]
 [-1.58440167e+01  5.50439475e+00 -1.20000000e+01]
 [-4.51945837e+02  6.20059141e+01 -4.25000000e+02]
 [-1.48151532e+02  5.46759366e+01 -4.52000000e+02]
 [ 7.46394584e+00  1.25392131e+01 -1.40000000e+01]
 [-3.53048371e+01  1.52425439e+01 -1.60000000e+01]
 [-6.92271387e+00  3.05886248e+01 -1.14000000e+02]
 [-3.82576572e+01  2.50538765e+01 -2.40000000e+01]
 [-5.26635846e+00  1.92359471e+01 -2.20000000e+01]
 [-2.43083705e+01  3.13057199e+01 -4.30000000e+01]
 [-9.50820144e+03  6.93691182e+01 -7.20000000e+01]
 [-2.78535826e+03  4.93098515e+01 -1.61000000e+02]
 [-9.95096034e+03  6.03721279e+01 -6.50000000e+01]
 [-7.93734266e+03  6.03720914e+01 -3.60000000e+01]
 [-2.53773971e+03  4.85500837e+01 -1.04000000e+02]
 [-1.19347945e+04  6.72643701e+01 -3.60000000e+01]
 [-1.02775028e+04  7.04752155e+01 -4.80000000e+01]
 [-4.64596441e+03  5.17351583e+01 -1.10000000e+02]
 [-6.84472039e+02  3.74909663e+01 -2.00000000e+00]
 [-1.06563682e+01  0.00000000e+00 -2.00000000e+00]
 [-5.04658440e+02  6.09146018e+01 -3.02000000e+02]
 [-3.44585001e+00  4.03203429e+01 -1.21000000e+02]
 [-1.37069407e+02  4.22340137e+01 -3.09000000e+02]
 [-1.18361303e+03  4.75447023e+01 -4.80000000e+01]
 [-3.24743401e+03  4.62852532e+01 -8.00000000e+00]
 [-5.31332506e+03  5.65526808e+01 -6.50000000e+01]
 [-5.47288929e+03  6.93687560e+01 -9.30000000e+01]
 [-2.31066016e+03  7.00969255e+01 -2.58000000e+02]
 [-4.88350233e+02  6.88802888e+01 -2.05000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.43410524e+04  6.93691339e+01 -2.00000000e+00]
 [ 1.79180137e+01  3.37290461e+01 -3.00000000e+01]
 [-4.06796233e+03  6.06441722e+01 -9.00000000e+01]
 [-4.41205048e+03  5.38553003e+01 -6.40000000e+01]
 [-3.66619008e+02  5.42269763e+01 -1.49000000e+02]
 [-2.31868749e+02  6.64258112e+01 -1.87000000e+02]
 [-1.39406389e+02  5.10942880e+01 -1.14000000e+02]
 [-1.25682218e+04  5.68275863e+01 -3.10000000e+01]
 [-9.51638182e+03  6.93690805e+01 -3.60000000e+01]
 [-7.64793063e+03  6.04508766e+01 -3.70000000e+01]
 [-7.32171464e+03  5.68275830e+01 -2.60000000e+01]
 [-4.42871493e+00  2.32102883e+01 -1.20000000e+01]
 [-3.37067193e+00  3.94867033e+01 -2.10000000e+01]
 [ 1.04038752e+01  1.04038752e+01 -4.00000000e+00]
 [-3.99262500e+00  1.09573410e-01 -2.00000000e+00]
 [-5.93127671e+00  1.64215632e+01 -4.00000000e+00]
 [-3.85116480e+01  4.35884812e+01 -3.20000000e+01]
 [ 8.87484461e+00  2.16085964e+01 -1.40000000e+01]
 [-3.96110889e+02  4.71455545e+01 -2.00000000e+00]
 [ 1.14745402e+00  1.20739374e+01 -8.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[ 0.3415213   0.74475998  0.16952743 ... -0.67893958  0.74057172
   0.67485964]
 [-0.20723181 -0.7870763  -0.0311947  ...  0.70791472 -0.72835239
   0.19545233]
 [-0.35961659 -0.40833614 -0.43665558 ... -0.72012809 -0.78778812
  -0.78161995]
 ...
 [-0.86138088  0.37678663  0.54321784 ... -0.19291518 -0.5656616
   0.86807931]
 [ 0.65335172 -0.80380744  0.81722748 ... -0.73235677  0.52285671
   0.80100906]
 [-0.4029712   0.0865407   0.63584832 ... -0.7319876  -0.51942735
  -0.8459993 ]]",-20134.703986159268
