,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3275.4533297712837,31.36453947323832,-5.88,-11192.140025317192
1,2,-1044.585545224778,15.005869000736407,-9.61,-14120.032757748544
2,3,-1361.1125821092342,18.75094464960217,-15.71,-14120.032757748544
3,4,-1393.4167409583836,20.726541565561597,-21.87,-15083.956834890307
4,5,-1270.8853460254998,20.72126992075775,-24.23,-18452.941331560076
5,6,-2205.81750398304,34.503108020027774,-31.02,-18452.941331560076
6,7,-2366.1386995859975,37.285561125132844,-36.22,-18452.941331560076
7,8,-2074.8643371064068,36.75398483855524,-37.07,-18452.941331560076
8,9,-2212.2542103447327,36.54214740134783,-39.28,-19637.158354075375
9,10,-2307.070706118235,36.58342512092183,-40.97,-19637.158354075375
10,11,-2483.585580728499,37.3640730052548,-41.68,-20172.50633733839
11,12,-2521.2558489843664,35.49631807473978,-42.13,-20172.50633733839
12,13,-2616.1912404367285,36.29478697402986,-44.67,-21482.14134538168
13,14,-2750.4457782526706,36.89148983921937,-46.05,-21482.14134538168
14,15,-2922.9034060170934,37.36875895424579,-47.12,-21482.14134538168
15,16,-2920.290305433648,37.128100851539116,-48.81,-21482.14134538168
16,17,-2957.848151232401,36.39766498791709,-49.04,-21482.14134538168
17,18,-3041.9587841608827,36.665148001276236,-50.28,-21482.14134538168
18,19,-3055.5317128233605,36.770404495313976,-50.14,-21482.14134538168
19,20,-3257.1535173601574,37.156136423911704,-50.95,-21482.14134538168
20,21,-3181.378707571708,36.2421576637396,-50.26,-21482.14134538168
21,22,-3546.6476434839733,37.68255126664685,-54.92,-21482.14134538168
22,23,-3582.212827582455,37.37176658207129,-54.47,-21482.14134538168
23,24,-3590.6692859163663,37.537915220735336,-55.01,-21482.14134538168
24,25,-3870.5140140401572,37.465661067042014,-55.58,-23455.85215376562
25,26,-3926.8064022659587,37.64018318401261,-57.19,-23455.85215376562
26,27,-3982.9756634064292,38.660838704904776,-58.13,-23455.85215376562
27,28,-4273.543138176968,39.00119503237643,-58.87,-23455.85215376562
28,29,-4250.657708238766,37.842271671453474,-56.37,-23455.85215376562
29,30,-4467.4345758429845,38.0138897483535,-59.0,-23455.85215376562
30,31,-4463.9811690308325,37.463460218708335,-61.29,-23455.85215376562
31,32,-4491.173638587114,37.81202879273127,-62.34,-23455.85215376562
32,33,-4136.0666214736775,35.98771392495814,-60.46,-23455.85215376562
33,34,-4232.021585592115,36.3252691674066,-61.65,-23455.85215376562
34,35,-4194.862704066504,36.5828819242233,-62.88,-23455.85215376562
35,36,-4252.9173226447565,36.54151295094229,-62.21,-23455.85215376562
36,37,-4337.305320171784,36.55011976401602,-61.83,-23455.85215376562
37,38,-4078.018486803334,35.34944005142276,-61.66,-23455.85215376562
38,39,-4117.757225634065,35.23450987500317,-60.82,-23455.85215376562
39,40,-4358.838858025544,35.56642678623672,-62.44,-23507.97297992605
40,41,-4553.9963471017145,36.629654814443235,-66.25,-23507.97297992605
41,42,-4696.325930490399,37.27375291990509,-67.57,-23507.97297992605
42,43,-4558.48939084525,37.21248578235844,-69.06,-23507.97297992605
43,44,-4714.3099123559,37.447860049978765,-70.66,-23507.97297992605
44,45,-4713.515198575427,38.125849127231504,-71.78,-23507.97297992605
45,46,-4779.276043804262,37.980177374371394,-73.62,-23507.97297992605
46,47,-4400.141539541169,37.727364290811494,-72.92,-23507.97297992605
47,48,-4642.419155442963,36.56986794621021,-65.17,-23507.97297992605
48,49,-4798.292787958303,36.47887910010797,-64.67,-23507.97297992605
49,50,-4872.558652028968,37.264017712666764,-66.42,-23507.97297992605
50,51,-4950.343074460045,36.8408158929441,-66.72,-23507.97297992605
51,52,-4956.6550227414955,36.02875957840629,-66.93,-23507.97297992605
52,53,-4962.451613954818,35.789991592429104,-66.73,-23507.97297992605
53,54,-4990.804701167842,35.28400550945707,-64.71,-23507.97297992605
54,55,-5190.696594093967,35.31658392357831,-65.64,-23507.97297992605
55,56,-5051.917807900211,35.543548424747996,-67.71,-23507.97297992605
56,57,-5099.280712907768,35.814889356187166,-67.58,-23507.97297992605
57,58,-5238.699417549124,35.02781108187287,-63.97,-23507.97297992605
58,59,-5527.421700326342,35.23452504392706,-64.41,-23507.97297992605
59,60,-5529.052594044546,35.65963217497794,-65.32,-23507.97297992605
60,61,-5375.229106292461,35.262269537680666,-65.25,-23507.97297992605
61,62,-5654.86984231184,35.95721825757357,-65.92,-23507.97297992605
62,63,-6091.752665651158,36.595412231230036,-64.65,-23974.113191786706
63,64,-6006.647072067331,36.08200955865375,-66.61,-23974.113191786706
64,65,-6011.023726928259,36.86685569490585,-67.78,-23974.113191786706
65,66,-6031.897822815888,36.60121669064992,-68.4,-23974.113191786706
66,67,-5920.7947293200505,36.394165648898195,-68.23,-23974.113191786706
67,68,-5971.035425738019,36.28823881984034,-67.49,-23974.113191786706
68,69,-5715.8740364549785,35.9282335965942,-66.84,-23974.113191786706
69,70,-5710.467952725443,35.80831851526469,-67.72,-23974.113191786706
70,71,-5689.9035384905055,35.787237867046386,-67.3,-23974.113191786706
71,72,-5533.5877561327525,35.72928605971513,-67.99,-23974.113191786706
72,73,-5445.1217542668055,35.71604626755365,-68.24,-23974.113191786706
73,74,-5444.371162585798,35.562638946148425,-68.65,-23974.113191786706
74,75,-5157.749225398847,34.99436184661088,-68.98,-26113.090677663746
75,76,-5286.41784100013,36.44991488008238,-74.02,-26113.090677663746
76,77,-5233.359186980263,36.58532683048816,-75.28,-26113.090677663746
77,78,-5241.739781197488,36.984434222909655,-76.21,-26113.090677663746
78,79,-4396.360188262265,35.95825215593828,-78.64,-26113.090677663746
79,80,-4269.797520563662,35.929203760565656,-78.05,-26113.090677663746
80,81,-4213.398641666086,35.770346534086606,-77.53,-26113.090677663746
81,82,-4251.28387975388,35.961979010683194,-76.65,-26113.090677663746
82,83,-4226.618263768304,35.301230538931975,-74.87,-26113.090677663746
83,84,-4356.645159217675,35.4031523696728,-75.53,-26113.090677663746
84,85,-4299.466953216266,34.89457664581547,-73.46,-26113.090677663746
85,86,-4297.223086600588,34.78570534567967,-73.43,-26113.090677663746
86,87,-4357.009662500323,34.867477061433476,-74.01,-26113.090677663746
87,88,-4357.009662500323,34.867477061433476,-74.01,-26113.090677663746
88,89,-4380.960543101593,34.46109985183549,-72.82,-26113.090677663746
89,90,-4380.960543101593,34.46109985183549,-72.82,-26113.090677663746
90,91,-4375.434735329967,34.268191750115875,-72.39,-26113.090677663746
91,92,-4414.775744430682,34.52621424195802,-74.53,-26113.090677663746
92,93,-4557.049203562471,35.32930372270731,-77.33,-26113.090677663746
93,94,-4557.049203562471,35.32930372270731,-77.33,-26113.090677663746
94,95,-4556.726493470537,35.32930372270731,-77.35,-26113.090677663746
95,96,-4408.642343752403,35.30344769894938,-78.76,-26113.090677663746
96,97,-4408.642343752403,35.30344769894938,-78.76,-26113.090677663746
97,98,-4405.998845098037,35.08651436688234,-78.41,-26113.090677663746
98,99,-4311.299889562367,35.20631170787201,-79.14,-26113.090677663746
99,100,-4311.299889562367,35.20631170787201,-79.14,-26113.090677663746
