,generation,objectives,decision_variables,best
0,1,"[[-1.63491729e+04  5.89117562e+01 -1.20000000e+01]
 [-7.79623626e+01  4.24351844e+01 -6.50000000e+01]
 [-5.55186779e+03  5.68587753e+01 -7.60000000e+01]
 [-9.68485450e+03  6.84482370e+01 -1.80000000e+01]
 [-4.39494256e+02  4.24087650e+01 -2.00000000e+00]
 [-1.11172331e+01  8.67333409e+00 -1.00000000e+01]
 [-8.69716196e+03  6.36014717e+01 -3.60000000e+01]
 [-2.22895719e+01  0.00000000e+00 -2.00000000e+00]
 [-5.77295076e+03  6.99219159e+01 -2.11000000e+02]
 [-4.50442748e+01  2.96719154e+01 -6.40000000e+01]
 [-2.00434060e+02  4.59896206e+01 -4.83000000e+02]
 [-1.22016843e+04  6.99220657e+01 -2.00000000e+00]
 [-1.51449769e+04  6.99220673e+01 -2.00000000e+00]
 [-1.20307858e+04  6.99220651e+01 -4.00000000e+00]
 [-2.46057269e+02  6.99211875e+01 -6.70000000e+01]
 [-9.23776693e+03  6.99220611e+01 -2.00000000e+00]
 [-1.97388825e+03  6.99218250e+01 -2.00000000e+00]
 [-6.56459545e+03  6.99220219e+01 -1.00000000e+01]
 [-8.45052651e+03  6.99220719e+01 -1.10000000e+01]
 [-6.35104256e+02  6.99197125e+01 -2.00000000e+00]
 [-1.62949142e+01  0.00000000e+00 -2.00000000e+00]
 [-5.58676668e+03  7.75555232e+01 -7.10000000e+01]
 [-3.48420270e+03  8.20601003e+01 -1.74000000e+02]
 [ 1.63284913e+01  3.70201344e+01 -2.40000000e+01]
 [-6.07388426e+01  5.98663518e+01 -8.00000000e+01]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-8.93970296e+03  6.99220740e+01 -3.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-8.85454199e+03  6.99220740e+01 -3.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-9.07626032e+03  6.99220646e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-2.91314395e+00  6.99214123e+01 -8.00000000e+00]
 [-9.52194153e+03  6.99220657e+01 -2.00000000e+00]]","[[-0.49066155  0.6029152   0.07593984 ...  0.08508151 -0.43831308
   0.3765787 ]
 [-0.61893929  0.44982315  0.23351149 ...  0.01438588 -0.94023873
   0.36121843]
 [ 0.00288809 -0.24026944  0.3719405  ...  0.04874256  0.01945159
   0.14436682]
 ...
 [-0.04929287 -0.94455305 -0.57589929 ...  0.10100421 -0.65122183
   0.47720972]
 [-0.83848426  0.1807691  -0.35683672 ...  0.13254006  0.3153312
   0.13718239]
 [ 0.60612298 -0.63578067 -0.64484455 ... -0.70046409  0.73774715
  -0.53301267]]",-16349.172944076241
1,2,"[[-1.63491729e+04  5.89117562e+01 -1.20000000e+01]
 [-5.55186779e+03  5.68587753e+01 -7.60000000e+01]
 [-1.11172331e+01  8.67333409e+00 -1.00000000e+01]
 [-2.22895719e+01  0.00000000e+00 -2.00000000e+00]
 [-5.77295076e+03  6.99219159e+01 -2.11000000e+02]
 [-2.00434060e+02  4.59896206e+01 -4.83000000e+02]
 [-1.44290461e+02  2.19104728e+01 -1.24000000e+02]
 [-2.45109491e+03  5.18854170e+01 -6.70000000e+01]
 [-6.63629055e+02  3.53742983e+01 -2.00000000e+00]
 [-3.64859673e+02  3.57108389e+01 -3.30000000e+01]
 [-3.61182546e+03  7.47684565e+01 -4.22000000e+02]
 [-6.97141022e+02  3.53746265e+01 -2.00000000e+00]
 [-2.28521917e+03  6.10533280e+01 -8.30000000e+01]
 [-7.93028155e+02  3.53748269e+01 -2.00000000e+00]
 [-1.25617196e+04  6.22538967e+01 -1.90000000e+01]
 [-1.10187576e+04  5.80826429e+01 -4.50000000e+01]
 [-3.07134079e+03  7.81848361e+01 -5.66000000e+02]
 [-2.99292130e+03  7.30993738e+01 -2.17000000e+02]
 [-2.57785247e+03  6.62106805e+01 -8.90000000e+01]
 [-4.01854587e+01  1.03877324e+01 -8.00000000e+00]
 [-1.51449769e+04  6.99220673e+01 -2.00000000e+00]
 [-1.51449769e+04  6.99220673e+01 -2.00000000e+00]
 [-1.62949142e+01  0.00000000e+00 -2.00000000e+00]
 [-5.58676668e+03  7.75555232e+01 -7.10000000e+01]
 [-5.53710933e+01  4.61022370e+01 -2.54000000e+02]
 [-7.79623626e+01  4.24351844e+01 -6.50000000e+01]
 [-4.50442748e+01  2.96719154e+01 -6.40000000e+01]
 [-6.07388426e+01  5.98663518e+01 -8.00000000e+01]
 [-3.83264538e+01  2.83075844e+01 -6.00000000e+01]
 [-3.48420270e+03  8.20601003e+01 -1.74000000e+02]
 [-4.39494256e+02  4.24087650e+01 -2.00000000e+00]
 [-1.22016843e+04  6.99220657e+01 -2.00000000e+00]
 [-1.20307858e+04  6.99220651e+01 -4.00000000e+00]
 [-8.69716196e+03  6.36014717e+01 -3.60000000e+01]
 [-1.07038863e+04  6.38578795e+01 -1.30000000e+01]
 [-1.01347499e+04  6.66402083e+01 -3.60000000e+01]
 [-2.46057269e+02  6.99211875e+01 -6.70000000e+01]
 [ 1.26139151e+01  3.93267390e+01 -4.40000000e+01]
 [-1.41746904e+04  6.99220729e+01 -2.00000000e+00]
 [ 1.63284913e+01  3.70201344e+01 -2.40000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-9.68485450e+03  6.84482370e+01 -1.80000000e+01]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[-0.49066155  0.6029152   0.07593984 ...  0.08508151 -0.43831308
   0.3765787 ]
 [ 0.00288809 -0.24026944  0.3719405  ...  0.04874256  0.01945159
   0.14436682]
 [ 0.05420321 -0.86200756 -0.67503453 ...  0.06958809 -0.07433221
   0.25734427]
 ...
 [ 0.70679717 -0.17388136  0.54310692 ... -0.28025532  0.12571901
   0.75395267]
 [ 0.77220765 -0.06060189 -0.00209485 ... -0.60195423  0.54006247
   0.4470708 ]
 [-0.70191738  0.55052702  0.97726756 ... -0.52652921  0.09441095
  -0.00449509]]",-16349.172944076241
2,3,"[[-1.63491729e+04  5.89117562e+01 -1.20000000e+01]
 [-5.55186779e+03  5.68587753e+01 -7.60000000e+01]
 [-1.11172331e+01  8.67333409e+00 -1.00000000e+01]
 [-2.22895719e+01  0.00000000e+00 -2.00000000e+00]
 [-5.77295076e+03  6.99219159e+01 -2.11000000e+02]
 [-1.44290461e+02  2.19104728e+01 -1.24000000e+02]
 [-6.63629055e+02  3.53742983e+01 -2.00000000e+00]
 [-3.64859673e+02  3.57108389e+01 -3.30000000e+01]
 [-3.61182546e+03  7.47684565e+01 -4.22000000e+02]
 [-6.97141022e+02  3.53746265e+01 -2.00000000e+00]
 [-7.93028155e+02  3.53748269e+01 -2.00000000e+00]
 [-1.25617196e+04  6.22538967e+01 -1.90000000e+01]
 [-1.10187576e+04  5.80826429e+01 -4.50000000e+01]
 [-3.07134079e+03  7.81848361e+01 -5.66000000e+02]
 [-1.69052012e+02  3.04312081e+01 -4.00000000e+00]
 [-1.25448485e+04  5.80827582e+01 -2.00000000e+01]
 [-8.85250856e+01  5.56032464e+00 -9.00000000e+00]
 [-5.31738869e+03  4.58034019e+01 -3.18000000e+02]
 [-8.65891734e+02  4.59825689e+01 -5.41000000e+02]
 [-7.54557018e+00  1.52720457e+01 -1.60000000e+01]
 [-1.51449769e+04  6.99220673e+01 -2.00000000e+00]
 [-1.51449769e+04  6.99220673e+01 -2.00000000e+00]
 [-1.37462256e+04  7.06025914e+01 -1.00000000e+01]
 [-1.62949142e+01  0.00000000e+00 -2.00000000e+00]
 [-1.94542434e+01  2.31853661e+00 -2.00000000e+00]
 [-5.58676668e+03  7.75555232e+01 -7.10000000e+01]
 [-7.79623626e+01  4.24351844e+01 -6.50000000e+01]
 [-4.50442748e+01  2.96719154e+01 -6.40000000e+01]
 [-3.83264538e+01  2.83075844e+01 -6.00000000e+01]
 [-6.28813808e+01  2.63941887e+01 -4.60000000e+01]
 [-8.56457025e+01  3.75260290e+01 -2.00000000e+01]
 [-4.39494256e+02  4.24087650e+01 -2.00000000e+00]
 [-8.69716196e+03  6.36014717e+01 -3.60000000e+01]
 [-1.01347499e+04  6.66402083e+01 -3.60000000e+01]
 [-8.69716196e+03  6.36014717e+01 -3.60000000e+01]
 [-1.07038863e+04  6.38578795e+01 -1.30000000e+01]
 [-1.24896041e+04  6.99220253e+01 -6.00000000e+00]
 [-1.11058187e+04  7.35343853e+01 -1.90000000e+01]
 [-4.01854587e+01  1.03877324e+01 -8.00000000e+00]
 [ 7.44510336e+00  7.44510336e+00 -4.00000000e+00]
 [-2.99292130e+03  7.30993738e+01 -2.17000000e+02]
 [-3.48420270e+03  8.20601003e+01 -1.74000000e+02]
 [-2.46030065e+03  4.77784470e+01 -2.81000000e+02]
 [-3.24903957e+03  6.34050976e+01 -1.41000000e+02]
 [-3.59412809e+03  6.99219809e+01 -6.60000000e+01]
 [-2.00434060e+02  4.59896206e+01 -4.83000000e+02]
 [-5.43305719e+02  5.38880289e+01 -4.66000000e+02]
 [-5.82458569e+02  6.99217462e+01 -4.49000000e+02]
 [-4.78814605e+02  6.51787969e+01 -4.75000000e+02]
 [-1.78041835e+01  4.72224237e+01 -2.58000000e+02]
 [-1.41746904e+04  6.99220729e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [ 1.65393988e+01  3.90636680e+01 -4.00000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-9.68485450e+03  6.84482370e+01 -1.80000000e+01]
 [-4.04447657e+03  6.48396534e+01 -8.00000000e+00]
 [ 2.19913524e+00  1.59423986e+01 -6.00000000e+00]
 [-4.46894525e+02  6.00504638e+01 -1.13000000e+02]
 [ 1.63284913e+01  3.70201344e+01 -2.40000000e+01]
 [-3.40096895e+02  5.77234742e+01 -1.62000000e+02]
 [-2.45109491e+03  5.18854170e+01 -6.70000000e+01]
 [-5.53710933e+01  4.61022370e+01 -2.54000000e+02]
 [-2.28521917e+03  6.10533280e+01 -8.30000000e+01]
 [-3.21569817e+02  6.00511239e+01 -2.06000000e+02]
 [-2.57785247e+03  6.62106805e+01 -8.90000000e+01]
 [-1.35893558e+01  2.31845990e+00 -2.00000000e+00]
 [-1.15811937e+02  5.79952354e+01 -1.86000000e+02]
 [-1.20307858e+04  6.99220651e+01 -4.00000000e+00]
 [ 1.26139151e+01  3.93267390e+01 -4.40000000e+01]
 [-1.22016843e+04  6.99220657e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[-0.49066155  0.6029152   0.07593984 ...  0.08508151 -0.43831308
   0.3765787 ]
 [ 0.00288809 -0.24026944  0.3719405  ...  0.04874256  0.01945159
   0.14436682]
 [ 0.05420321 -0.86200756 -0.67503453 ...  0.06958809 -0.07433221
   0.25734427]
 ...
 [-0.18308506  0.36430919  0.25247828 ... -0.84567294  0.01032908
   0.87651476]
 [-0.74926056 -0.56133063 -0.37962052 ...  0.81649036 -0.67403205
  -0.325975  ]
 [ 0.0041639  -0.06060189  0.02940813 ... -0.54273374  0.54006247
   0.4470708 ]]",-16349.172944076241
