,generation,objectives,decision_variables,best
0,1,"[[-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.21298579e+03  7.28927073e+01 -1.04000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.49675487e+03  6.99220612e+01 -3.34000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.46319883e+03  7.63143767e+01 -5.09000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-6.24989578e+02  4.69024936e+01 -3.37000000e+02]
 [ 4.02676819e+00  4.02676819e+00 -2.00000000e+00]
 [-2.00306258e+04  5.80827235e+01 -9.40000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.48306636e+01  1.42476585e+01 -1.40000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.17183687e+03  6.99220674e+01 -2.30000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-4.01556217e+02  2.53155459e+01 -3.31000000e+02]
 [-5.15488494e+02  6.76396206e+01 -3.22000000e+02]
 [-8.54809060e+03  5.80827558e+01 -3.00000000e+01]
 [-5.70338549e+03  6.11564747e+01 -7.30000000e+01]
 [-3.64244288e+03  5.91290055e+01 -8.80000000e+01]
 [ 2.41935755e+00  1.52785547e+01 -8.00000000e+00]
 [-9.49802834e-01  2.54330253e+01 -4.40000000e+01]
 [-7.99351313e+01  5.49913560e+01 -6.10000000e+01]
 [-3.96481901e+01  5.34741984e+01 -2.01000000e+02]
 [-1.90544633e+01  4.74713925e+01 -4.00000000e+01]
 [-7.10064647e+03  6.99220701e+01 -2.00000000e+00]
 [-5.80276976e+03  6.04043613e+01 -1.00000000e+01]
 [-6.31841310e+03  6.84482435e+01 -2.60000000e+01]
 [-4.17001553e+03  6.53209545e+01 -5.40000000e+01]
 [-8.20227928e+00  5.49947386e+01 -4.40000000e+01]
 [ 1.40019303e+00  5.49874374e+01 -1.18000000e+02]
 [ 4.86213411e+01  5.40044817e+01 -2.00000000e+00]
 [-6.47276348e+03  6.99220714e+01 -2.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-4.18428653e+03  7.31771393e+01 -7.00000000e+00]
 [-4.75759474e+03  7.03054626e+01 -4.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.34638556e+03  6.99220702e+01 -2.00000000e+00]
 [-4.34510700e+03  7.41365493e+01 -6.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-4.64907521e+03  6.99220668e+01 -2.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-6.21212634e+03  6.99220775e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-6.29802116e+03  6.99220712e+01 -2.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-5.06944358e+03  6.99220752e+01 -3.00000000e+00]
 [-3.97639683e+03  6.99220702e+01 -1.20000000e+01]
 [-3.65491755e+03  6.92474052e+01 -2.70000000e+01]
 [-3.76856604e+03  7.96331714e+01 -2.40000000e+01]
 [ 2.55738837e+01  5.55676152e+01 -6.40000000e+01]
 [-4.58777980e+03  6.99220680e+01 -2.00000000e+00]
 [-5.06944350e+03  6.99220767e+01 -3.00000000e+00]
 [-2.16147266e+02  6.99218221e+01 -3.00000000e+00]
 [-3.17584439e+03  6.99220672e+01 -4.00000000e+00]
 [ 2.87463405e+01  5.68719731e+01 -3.20000000e+01]
 [-6.77627056e+02  7.43050084e+01 -4.00000000e+00]]","[[-0.81186352 -0.1358861   0.54759019 ... -0.29430901 -0.11394137
  -0.29809055]
 [-0.74509037  0.81612105  0.26466184 ...  0.88977808 -0.094409
  -0.24504078]
 [ 0.54600742 -0.63922634  0.15889133 ...  0.56353584 -0.83653008
   0.92829594]
 ...
 [-0.49063927  0.34016372 -0.16133544 ... -0.95581804 -0.04795985
   0.93018999]
 [-0.46139143 -0.3991391   0.19609476 ... -0.42396507 -0.49458446
  -0.8085199 ]
 [ 0.16730892  0.10493893  0.79168719 ...  0.54542564 -0.15279353
  -0.5404572 ]]",-20030.625806601583
1,2,"[[-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.46319883e+03  7.63143767e+01 -5.09000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-6.24989578e+02  4.69024936e+01 -3.37000000e+02]
 [ 4.02676819e+00  4.02676819e+00 -2.00000000e+00]
 [-2.00306258e+04  5.80827235e+01 -9.40000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.48306636e+01  1.42476585e+01 -1.40000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.17183687e+03  6.99220674e+01 -2.30000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-4.01556217e+02  2.53155459e+01 -3.31000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-6.02521091e+03  5.80826159e+01 -6.50000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.10884016e+03  5.52673360e+01 -3.89000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.68666713e+03  4.89675467e+01 -1.32000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-2.60600276e+00  2.52193369e+01 -4.30000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.93961152e+03  5.53035531e+01 -6.10000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.88700928e+03  4.94992912e+01 -2.28000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.58561696e+03  5.49958187e+01 -3.17000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.52279759e+03  4.49263681e+01 -1.70000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-2.22325094e+03  5.74846249e+01 -4.26000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-3.21298579e+03  7.28927073e+01 -1.04000000e+02]
 [ 2.41935755e+00  1.52785547e+01 -8.00000000e+00]
 [-1.49675487e+03  6.99220612e+01 -3.34000000e+02]
 [-2.97579898e+02  3.59813011e+01 -6.00000000e+00]
 [-8.54809060e+03  5.80827558e+01 -3.00000000e+01]
 [-5.70338549e+03  6.11564747e+01 -7.30000000e+01]
 [-1.68870926e+03  6.54827521e+01 -1.67000000e+02]
 [-9.49802834e-01  2.54330253e+01 -4.40000000e+01]
 [-5.15488494e+02  6.76396206e+01 -3.22000000e+02]
 [-3.96481901e+01  5.34741984e+01 -2.01000000e+02]
 [-3.64244288e+03  5.91290055e+01 -8.80000000e+01]
 [-1.90544633e+01  4.74713925e+01 -4.00000000e+01]
 [-2.06705467e+02  6.05754941e+01 -2.77000000e+02]
 [-1.10984821e+02  3.44628834e+01 -2.80000000e+01]
 [-1.40090832e+01  3.65933700e+01 -1.00000000e+02]]","[[-0.81186352 -0.1358861   0.54759019 ... -0.29430901 -0.11394137
  -0.29809055]
 [-0.74509037  0.81612105  0.26466184 ...  0.88977808 -0.094409
  -0.24504078]
 [ 0.54600742 -0.63922634  0.15889133 ...  0.56353584 -0.83653008
   0.92829594]
 ...
 [-0.56828375 -0.57171448 -0.16344619 ... -0.78584825 -0.65293375
  -0.2921064 ]
 [ 0.10456045  0.74618584 -0.43525032 ...  0.50856441 -0.92830889
   0.41012171]
 [-0.31055106 -0.99679149  0.31054751 ... -0.50555804 -0.65293375
  -0.2921064 ]]",-20030.625806601583
2,3,"[[ 1.13945077e+01  1.13945077e+01 -4.00000000e+00]
 [-4.98085313e+02  5.67179213e+01 -5.98000000e+02]
 [-3.46319883e+03  7.63143767e+01 -5.09000000e+02]
 [-2.00306258e+04  5.80827235e+01 -9.40000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-6.02521091e+03  5.80826159e+01 -6.50000000e+01]
 [-1.52279759e+03  4.49263681e+01 -1.70000000e+01]
 [-4.01556217e+02  2.53155459e+01 -3.31000000e+02]
 [-3.17183687e+03  6.99220674e+01 -2.30000000e+02]
 [-1.21081043e+03  6.44148550e+01 -4.58000000e+02]
 [-1.58561696e+03  5.49958187e+01 -3.17000000e+02]
 [-3.68666713e+03  4.89675467e+01 -1.32000000e+02]
 [-3.88700928e+03  4.94992912e+01 -2.28000000e+02]
 [-1.10884016e+03  5.52673360e+01 -3.89000000e+02]
 [-2.22325094e+03  5.74846249e+01 -4.26000000e+02]
 [-6.24989578e+02  4.69024936e+01 -3.37000000e+02]
 [-3.93961152e+03  5.53035531e+01 -6.10000000e+01]
 [-2.59147285e+00  3.86246351e+00 -2.00000000e+00]
 [-1.43914897e+03  6.99215298e+01 -4.39000000e+02]
 [-9.41770558e+01  2.24087052e+01 -3.20000000e+01]
 [-1.77911517e+01  1.96008275e+01 -1.40000000e+01]
 [-1.48306636e+01  1.42476585e+01 -1.40000000e+01]
 [-2.60600276e+00  2.52193369e+01 -4.30000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[ 0.90045129 -0.5758331   0.57336292 ... -0.43941597 -0.78433059
  -0.08177149]
 [-0.9426841   0.18757258  0.58508922 ... -0.53042347  0.99312098
  -0.02577549]
 [ 0.67481346  0.62924062  0.58081202 ... -0.53042347  0.99312098
  -0.05781142]
 ...
 [-0.52435567 -0.74055834 -0.18880457 ...  0.68526169 -0.14974426
   0.39258888]
 [-0.46106612 -0.3991391   0.51968262 ... -0.28177082 -0.44509764
  -0.27775732]
 [ 0.54600742 -0.55630738  0.15889133 ... -0.86650437  0.58162452
   0.92829594]]",-20030.625806601583
