,generation,objectives,decision_variables,best
0,1,"[[-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-5.66019212e+03  6.99219322e+01 -2.48000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.67792666e+03  4.25442301e+01 -4.09000000e+02]
 [-3.66626982e+01  2.36830035e+01 -1.50000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [ 9.25607863e+00  9.25607863e+00 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-4.05146846e+03  4.83423954e+01 -3.31000000e+02]
 [-7.27078956e+02  3.53747598e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.29565487e+01  9.41420628e+00 -6.00000000e+00]
 [-7.93028155e+02  3.53748269e+01 -2.00000000e+00]
 [-4.59232097e+01  3.32634027e+01 -5.20000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-5.53817290e+02  5.92956911e+01 -4.44000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.30634494e+04  5.40271707e+01 -2.00000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-8.44456577e+03  7.03822720e+01 -2.10000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-6.36561267e+03  5.96714040e+01 -6.10000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-5.41647488e+02  4.24256035e+01 -4.79000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.44782843e+01  2.23668370e+01 -1.20000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-5.70701178e+02  4.73467553e+01 -3.35000000e+02]
 [-3.89372574e+03  6.38290466e+01 -1.56000000e+02]
 [-2.27305914e+03  7.38290328e+01 -1.91000000e+02]
 [ 9.38644371e+00  1.17100053e+01 -2.00000000e+00]
 [ 7.24470327e+00  1.98822262e+01 -6.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.25146341e+04  6.99220672e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02091524e+04  6.84482370e+01 -8.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-5.78325968e+03  7.94783279e+01 -2.00000000e+01]
 [ 3.95174905e+01  3.95174905e+01 -8.00000000e+00]
 [-1.70417520e+02  5.53999600e+01 -2.87000000e+02]
 [ 2.62557295e+01  5.51413513e+01 -3.00000000e+01]
 [-1.01990744e+04  6.99220651e+01 -4.00000000e+00]
 [-8.98660803e+03  6.99220737e+01 -5.00000000e+00]
 [ 3.03352033e+01  6.36990550e+01 -5.30000000e+01]
 [-2.93729077e+01  6.54035599e+01 -4.80000000e+01]
 [-9.46056568e+03  6.99220673e+01 -4.00000000e+00]
 [-8.71507456e+03  6.99220678e+01 -2.00000000e+00]]","[[ 0.58572771  0.94508126 -0.34877348 ...  0.86387367  0.17382969
   0.24372589]
 [ 0.47791098  0.15616008 -0.34811138 ... -0.70840922 -0.85238629
   0.70993627]
 [-0.31368496  0.25639509  0.38838704 ... -0.93977066 -0.58873994
  -0.48053595]
 ...
 [ 0.26109389  0.20383777 -0.17634753 ... -0.09226492  0.86778059
   0.75349538]
 [-0.64770156 -0.77274161 -0.7238476  ...  0.83875111  0.69915095
   0.11252723]
 [ 0.22396501  0.19454597 -0.32944973 ...  0.07040076 -0.60939235
  -0.37274365]]",-13063.449388954461
1,2,"[[-5.66019212e+03  6.99219322e+01 -2.48000000e+02]
 [-1.67792666e+03  4.25442301e+01 -4.09000000e+02]
 [-4.05146846e+03  4.83423954e+01 -3.31000000e+02]
 [-7.27078956e+02  3.53747598e+01 -2.00000000e+00]
 [-7.93028155e+02  3.53748269e+01 -2.00000000e+00]
 [-4.59232097e+01  3.32634027e+01 -5.20000000e+01]
 [-5.53817290e+02  5.92956911e+01 -4.44000000e+02]
 [-1.30634494e+04  5.40271707e+01 -2.00000000e+01]
 [-5.41647488e+02  4.24256035e+01 -4.79000000e+02]
 [-5.96190915e+01  1.80281083e+01 -8.00000000e+00]
 [-8.59902522e+02  6.53207259e+01 -4.44000000e+02]
 [-4.88796549e+03  5.69217459e+01 -7.00000000e+01]
 [-2.75302290e+02  3.73906289e+01 -7.10000000e+01]
 [-1.14650090e+04  6.99220667e+01 -2.80000000e+01]
 [-5.47407209e+01  1.98825828e+01 -1.80000000e+01]
 [-4.83075000e+00  0.00000000e+00 -2.00000000e+00]
 [-7.27078956e+02  3.53747598e+01 -2.00000000e+00]
 [-6.63629055e+02  3.53742983e+01 -2.00000000e+00]
 [-1.30292944e+02  2.23800286e+01 -5.00000000e+01]
 [-2.66352074e+01  2.53124790e+00 -1.00000000e+01]
 [-1.63499568e+04  6.99220725e+01 -1.30000000e+01]
 [-7.57081431e+03  7.42296024e+01 -3.63000000e+02]
 [-9.97199486e+03  5.89395933e+01 -8.40000000e+01]
 [-6.07509163e+03  7.63142403e+01 -6.70000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-7.02260897e+02  4.49558861e+01 -3.75000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.25146341e+04  6.99220672e+01 -2.00000000e+00]
 [ 4.60541130e+00  4.60541130e+00 -2.00000000e+00]
 [-2.27305914e+03  7.38290328e+01 -1.91000000e+02]
 [-3.89372574e+03  6.38290466e+01 -1.56000000e+02]
 [-9.31196514e+03  6.28866519e+01 -4.40000000e+01]
 [-6.62539717e+03  6.06159969e+01 -4.10000000e+01]
 [-5.72306788e+02  3.53749138e+01 -2.00000000e+00]
 [-6.36561267e+03  5.96714040e+01 -6.10000000e+01]
 [-3.66626982e+01  2.36830035e+01 -1.50000000e+01]
 [-1.06784337e+04  6.99220736e+01 -5.00000000e+00]
 [-1.88479121e+00  1.12326744e+01 -1.00000000e+01]
 [-1.44782843e+01  2.23668370e+01 -1.20000000e+01]
 [-1.02091524e+04  6.84482370e+01 -8.00000000e+00]
 [-1.29565487e+01  9.41420628e+00 -6.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]]","[[-0.08130119  0.30306125  0.70977754 ... -0.01092709  0.42653541
   0.08695391]
 [-0.74360376  0.0684335   0.84020708 ... -0.91781964 -0.00650146
   0.45431763]
 [-0.65097546  0.34523758 -0.97480144 ... -0.52083285  0.14262673
   0.57657843]
 ...
 [ 0.9281331   0.57426836  0.74571949 ... -0.46691024 -0.15952762
   0.78182558]
 [ 0.31918635 -0.4061848   0.59951932 ... -0.54180301  0.40155563
   0.64938781]
 [-0.79432617  0.04730579  0.38560699 ...  0.54968592  0.20021075
   0.94182649]]",-16349.9568021425
2,3,"[[-1.67792666e+03  4.25442301e+01 -4.09000000e+02]
 [-4.05146846e+03  4.83423954e+01 -3.31000000e+02]
 [-4.59232097e+01  3.32634027e+01 -5.20000000e+01]
 [-1.30634494e+04  5.40271707e+01 -2.00000000e+01]
 [-5.41647488e+02  4.24256035e+01 -4.79000000e+02]
 [-5.96190915e+01  1.80281083e+01 -8.00000000e+00]
 [-2.75302290e+02  3.73906289e+01 -7.10000000e+01]
 [-5.47407209e+01  1.98825828e+01 -1.80000000e+01]
 [-4.83075000e+00  0.00000000e+00 -2.00000000e+00]
 [-6.63629055e+02  3.53742983e+01 -2.00000000e+00]
 [-1.30292944e+02  2.23800286e+01 -5.00000000e+01]
 [-2.66352074e+01  2.53124790e+00 -1.00000000e+01]
 [-1.63499568e+04  6.99220725e+01 -1.30000000e+01]
 [-9.97199486e+03  5.89395933e+01 -8.40000000e+01]
 [-1.14615230e+03  4.00000219e+01 -3.94000000e+02]
 [-1.43260070e+01  1.29212850e+01 -4.80000000e+01]
 [-8.33865553e+02  3.53745905e+01 -2.00000000e+00]
 [-1.14784723e+04  6.04043426e+01 -7.00000000e+01]
 [-7.22754452e+03  5.45233149e+01 -2.11000000e+02]
 [-3.55603504e+01  4.02698446e+00 -2.00000000e+00]
 [-8.85111747e+03  5.92660957e+01 -4.03000000e+02]
 [-2.27254621e+03  5.57109204e+01 -6.12000000e+02]
 [ 9.91801682e-01  3.21819214e+00 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.25146341e+04  6.99220672e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-7.57081431e+03  7.42296024e+01 -3.63000000e+02]
 [-5.53817290e+02  5.92956911e+01 -4.44000000e+02]
 [-3.89372574e+03  6.38290466e+01 -1.56000000e+02]
 [-5.66019212e+03  6.99219322e+01 -2.48000000e+02]
 [-1.01364423e+03  5.16676024e+01 -3.95000000e+02]
 [-6.26137877e+03  6.99219292e+01 -7.50000000e+01]
 [-4.88796549e+03  5.69217459e+01 -7.00000000e+01]
 [-9.31196514e+03  6.28866519e+01 -4.40000000e+01]
 [-3.66626982e+01  2.36830035e+01 -1.50000000e+01]
 [-7.02260897e+02  4.49558861e+01 -3.75000000e+02]
 [-8.59902522e+02  6.53207259e+01 -4.44000000e+02]
 [-4.03099254e+02  4.47105707e+01 -4.00000000e+02]
 [-7.27078956e+02  3.53747598e+01 -2.00000000e+00]
 [-9.46005874e+00  1.29915734e+01 -2.60000000e+01]
 [-1.44782843e+01  2.23668370e+01 -1.20000000e+01]
 [-1.02091524e+04  6.84482370e+01 -8.00000000e+00]
 [-1.14650090e+04  6.99220667e+01 -2.80000000e+01]
 [-6.78877294e+03  6.20870681e+01 -5.10000000e+01]
 [-2.29533689e+01  3.95037174e+01 -6.00000000e+01]
 [-1.29565487e+01  9.41420628e+00 -6.00000000e+00]
 [-1.10350460e+04  6.99220651e+01 -4.00000000e+00]
 [-6.62539717e+03  6.06159969e+01 -4.10000000e+01]
 [-9.98641263e+03  6.99220519e+01 -2.30000000e+01]
 [-3.55798891e+00  4.31957569e+01 -6.50000000e+01]
 [-7.93028155e+02  3.53748269e+01 -2.00000000e+00]
 [-6.36561267e+03  5.96714040e+01 -6.10000000e+01]
 [-1.88479121e+00  1.12326744e+01 -1.00000000e+01]
 [-7.27078956e+02  3.53747598e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[-0.74360376  0.0684335   0.84020708 ... -0.91781964 -0.00650146
   0.45431763]
 [-0.65097546  0.34523758 -0.97480144 ... -0.52083285  0.14262673
   0.57657843]
 [-0.88839079 -0.33456741  0.46589241 ... -0.77922104 -0.86577318
   0.29309104]
 ...
 [-0.36335786 -0.31285517  0.01342253 ... -0.26482493  0.14231972
  -0.67549592]
 [ 0.96955393 -0.31270077  0.01342253 ... -0.27118319  0.32422951
  -0.67549592]
 [ 0.15700788 -0.88167158  0.25180651 ...  0.01980769  0.02259786
  -0.85315348]]",-16349.9568021425
