,generation,objectives,decision_variables,best
0,1,"[[-3.05914800e+01  1.52080438e+01 -3.20000000e+01]
 [-6.33270001e+01  5.19006140e+01 -5.05000000e+02]
 [-1.97002864e+00  2.67271745e+01 -3.40000000e+01]
 [-2.78520346e+02  2.70285545e+01 -2.52000000e+02]
 [-3.67166965e-01  0.00000000e+00 -2.00000000e+00]
 [-6.33357605e+03  6.57370156e+01 -2.00000000e+01]
 [-4.20123606e+03  7.41364942e+01 -3.20000000e+01]
 [-3.48406022e+03  5.17629565e+01 -1.18000000e+02]
 [-2.34638725e+03  7.26508919e+01 -1.62000000e+02]
 [-5.77532355e+00  1.03880117e+01 -1.00000000e+01]
 [-5.29848920e+03  6.45738335e+01 -1.40000000e+01]
 [-2.24574634e+03  5.76785054e+01 -1.50000000e+02]
 [-7.27587977e+03  6.99219917e+01 -2.40000000e+01]
 [ 3.63442667e+01  4.74938356e+01 -2.80000000e+01]
 [-1.38200439e+02  3.07043086e+01 -2.00000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-5.05759198e+03  6.99219880e+01 -1.70000000e+01]
 [-3.22359547e+02  5.49955373e+01 -2.00000000e+00]
 [-1.35483265e+01  6.42855129e+01 -1.34000000e+02]
 [-8.93937252e+02  6.34534890e+01 -8.60000000e+01]
 [-7.04274987e+03  6.99220713e+01 -2.00000000e+00]
 [-5.62389665e+03  6.99220634e+01 -7.00000000e+00]
 [-6.21212695e+03  6.99220720e+01 -3.00000000e+00]
 [-1.24557361e+01  3.44646457e+01 -1.80000000e+01]
 [ 1.21751134e+01  3.44630914e+01 -2.00000000e+00]
 [-3.01724442e+03  6.99220044e+01 -1.50000000e+01]
 [-4.86860652e+03  6.99220534e+01 -1.00000000e+01]
 [-2.38847847e+02  5.49957452e+01 -2.00000000e+00]
 [-5.06944400e+03  6.99220712e+01 -3.00000000e+00]
 [-5.06944400e+03  6.99220712e+01 -3.00000000e+00]
 [-4.85561871e+03  6.99220627e+01 -5.00000000e+00]
 [-4.24452709e+03  7.47217464e+01 -7.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-5.06944395e+03  6.99220721e+01 -3.00000000e+00]
 [-4.74840958e+03  6.99220721e+01 -5.00000000e+00]]","[[ 0.29346179 -0.68744228  0.71219456 ...  0.01834299 -0.82562027
  -0.01900277]
 [ 0.79714657  0.52328653  0.35315848 ...  0.66089254  0.32339407
  -0.33333421]
 [-0.3643085  -0.42977485  0.84989213 ...  0.02990991  0.2477107
   0.59123982]
 ...
 [ 0.08245502 -0.10930117 -0.17233228 ...  0.87397724  0.22869696
  -0.1310595 ]
 [-0.89740588 -0.9266441  -0.34252977 ... -0.58421525  0.25053979
   0.12343907]
 [ 0.12439477 -0.38978873  0.20700028 ...  0.88924047  0.15620126
  -0.35890164]]",-7275.8797725138065
1,2,"[[-3.05914800e+01  1.52080438e+01 -3.20000000e+01]
 [-6.33270001e+01  5.19006140e+01 -5.05000000e+02]
 [-1.97002864e+00  2.67271745e+01 -3.40000000e+01]
 [-2.78520346e+02  2.70285545e+01 -2.52000000e+02]
 [-6.33357605e+03  6.57370156e+01 -2.00000000e+01]
 [-5.77532355e+00  1.03880117e+01 -1.00000000e+01]
 [-5.29848920e+03  6.45738335e+01 -1.40000000e+01]
 [-2.24574634e+03  5.76785054e+01 -1.50000000e+02]
 [-7.27587977e+03  6.99219917e+01 -2.40000000e+01]
 [-3.66233602e+03  6.23130083e+01 -6.31000000e+02]
 [-3.89652300e+02  5.49951080e+01 -5.23000000e+02]
 [-1.21354501e+01  0.00000000e+00 -2.00000000e+00]
 [-5.81267631e+03  6.99219166e+01 -4.40000000e+01]
 [-4.06484740e+02  5.92774469e+01 -2.67000000e+02]
 [-3.53667223e+02  4.39038025e+01 -1.32000000e+02]
 [-4.30834339e+03  4.69915963e+01 -1.41000000e+02]
 [-1.93339824e+01  1.87466391e+01 -3.30000000e+01]
 [-1.38200439e+02  3.07043086e+01 -2.00000000e+01]
 [-6.21212695e+03  6.99220720e+01 -3.00000000e+00]
 [-7.10064713e+03  6.99220651e+01 -2.00000000e+00]
 [-7.10064713e+03  6.99220651e+01 -2.00000000e+00]
 [-2.34638725e+03  7.26508919e+01 -1.62000000e+02]
 [-7.53634592e+02  6.41646738e+01 -3.04000000e+02]
 [-5.06346953e+02  6.81449040e+01 -4.63000000e+02]
 [-3.67166965e-01  0.00000000e+00 -2.00000000e+00]
 [-5.05759198e+03  6.99219880e+01 -1.70000000e+01]
 [-5.62389665e+03  6.99220634e+01 -7.00000000e+00]
 [-5.17772795e+03  6.99220653e+01 -9.00000000e+00]
 [-4.20123606e+03  7.41364942e+01 -3.20000000e+01]
 [-3.48406022e+03  5.17629565e+01 -1.18000000e+02]
 [-2.21714599e+00  6.17654754e+01 -1.22000000e+02]
 [ 3.63442667e+01  4.74938356e+01 -2.80000000e+01]
 [ 2.74533484e+01  2.82989810e+01 -1.90000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-7.04274987e+03  6.99220713e+01 -2.00000000e+00]
 [-3.10833394e+02  6.63023983e+01 -2.78000000e+02]
 [-3.23398901e+03  7.18477211e+01 -2.20000000e+01]
 [ 1.17098598e+01  1.17098598e+01 -2.00000000e+00]
 [-8.93937252e+02  6.34534890e+01 -8.60000000e+01]
 [-1.24557361e+01  3.44646457e+01 -1.80000000e+01]
 [-1.51504498e+02  5.49948646e+01 -5.60000000e+01]
 [-1.35483265e+01  6.42855129e+01 -1.34000000e+02]
 [-3.00668643e+03  6.99220645e+01 -1.60000000e+01]
 [-4.86860652e+03  6.99220534e+01 -1.00000000e+01]
 [-6.47276410e+03  6.99220661e+01 -2.00000000e+00]
 [-5.06944411e+03  6.99220692e+01 -3.00000000e+00]
 [-1.35483265e+01  6.42855129e+01 -1.34000000e+02]
 [-3.22359547e+02  5.49955373e+01 -2.00000000e+00]
 [-3.01724442e+03  6.99220044e+01 -1.50000000e+01]
 [-2.70935561e+02  5.49955107e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[ 0.29346179 -0.68744228  0.71219456 ...  0.01834299 -0.82562027
  -0.01900277]
 [ 0.79714657  0.52328653  0.35315848 ...  0.66089254  0.32339407
  -0.33333421]
 [-0.3643085  -0.42977485  0.84989213 ...  0.02990991  0.2477107
   0.59123982]
 ...
 [-0.97845594 -0.42759029  0.69093244 ... -0.57509632  0.77057204
  -0.61999811]
 [-0.32392103 -0.60493885  0.61001342 ... -0.90564419 -0.86590042
  -0.31079614]
 [-0.38882132 -0.83664475 -0.04400539 ... -0.00126867 -0.76334409
  -0.78640024]]",-7275.8797725138065
2,3,"[[-3.05914800e+01  1.52080438e+01 -3.20000000e+01]
 [-6.33270001e+01  5.19006140e+01 -5.05000000e+02]
 [-2.78520346e+02  2.70285545e+01 -2.52000000e+02]
 [-5.77532355e+00  1.03880117e+01 -1.00000000e+01]
 [-3.66233602e+03  6.23130083e+01 -6.31000000e+02]
 [-3.89652300e+02  5.49951080e+01 -5.23000000e+02]
 [-3.53667223e+02  4.39038025e+01 -1.32000000e+02]
 [-4.30834339e+03  4.69915963e+01 -1.41000000e+02]
 [ 7.08655060e+00  9.18861739e+00 -4.00000000e+00]
 [-4.86672411e+00  9.25597676e+00 -4.00000000e+00]
 [-1.07189687e+02  1.91648571e+01 -6.30000000e+01]
 [-1.44256638e+02  5.04534897e+01 -4.27000000e+02]
 [-9.66062658e+03  4.34538407e+01 -6.40000000e+01]
 [-3.08974654e+02  4.08036733e+01 -3.75000000e+02]
 [-1.18555697e+02  1.67409400e+01 -5.00000000e+01]
 [-1.62949950e+01  0.00000000e+00 -2.00000000e+00]
 [-3.19971877e+03  5.94170120e+01 -3.08000000e+02]
 [-3.06419293e+03  5.52106991e+01 -2.91000000e+02]
 [-1.38200439e+02  3.07043086e+01 -2.00000000e+01]
 [-2.29688775e+02  3.87849673e+01 -1.84000000e+02]
 [-1.42791165e+02  3.63026296e+01 -1.16000000e+02]
 [-5.06346953e+02  6.81449040e+01 -4.63000000e+02]
 [-1.21055789e+03  7.28181664e+01 -3.91000000e+02]
 [-1.69702980e+02  6.66463031e+01 -4.58000000e+02]
 [-3.48406022e+03  5.17629565e+01 -1.18000000e+02]
 [-6.33357605e+03  6.57370156e+01 -2.00000000e+01]
 [-5.29848920e+03  6.45738335e+01 -1.40000000e+01]
 [-7.27587977e+03  6.99219917e+01 -2.40000000e+01]
 [-5.81267631e+03  6.99219166e+01 -4.40000000e+01]
 [-6.11185833e+03  7.40608729e+01 -6.10000000e+01]
 [-7.46040838e+03  6.99220654e+01 -2.00000000e+00]
 [-1.97002864e+00  2.67271745e+01 -3.40000000e+01]
 [-1.93339824e+01  1.87466391e+01 -3.30000000e+01]
 [-1.21354501e+01  0.00000000e+00 -2.00000000e+00]
 [-7.53634592e+02  6.41646738e+01 -3.04000000e+02]
 [-2.24574634e+03  5.76785054e+01 -1.50000000e+02]
 [-4.06484740e+02  5.92774469e+01 -2.67000000e+02]
 [-2.34638725e+03  7.26508919e+01 -1.62000000e+02]
 [ 9.33749377e+00  4.06321278e+01 -1.42000000e+02]
 [ 4.01860874e+00  4.17954760e+01 -3.80000000e+01]
 [-7.15519507e+01  4.47978368e+01 -3.40000000e+01]
 [ 8.00181238e+00  3.95838508e+01 -3.90000000e+01]
 [-1.51504498e+02  5.49948646e+01 -5.60000000e+01]
 [-3.22359547e+02  5.49955373e+01 -2.00000000e+00]
 [-2.70935561e+02  5.49955107e+01 -2.00000000e+00]
 [-2.93193736e+01  5.49935548e+01 -9.70000000e+01]
 [-5.41704591e+03  6.84482436e+01 -1.50000000e+01]
 [-6.21212695e+03  6.99220720e+01 -3.00000000e+00]
 [-7.10064713e+03  6.99220651e+01 -2.00000000e+00]
 [-7.10064713e+03  6.99220651e+01 -2.00000000e+00]
 [-5.92557197e+03  7.08132758e+01 -1.40000000e+01]
 [-5.05759198e+03  6.99219880e+01 -1.70000000e+01]
 [-5.62389665e+03  6.99220634e+01 -7.00000000e+00]
 [-5.80152845e+03  7.00555091e+01 -3.80000000e+01]
 [-3.34027905e+03  7.44975662e+01 -4.60000000e+01]
 [ 2.74533484e+01  2.82989810e+01 -1.90000000e+01]
 [-1.24557361e+01  3.44646457e+01 -1.80000000e+01]
 [-3.67166965e-01  0.00000000e+00 -2.00000000e+00]
 [-3.10833394e+02  6.63023983e+01 -2.78000000e+02]
 [-8.93937252e+02  6.34534890e+01 -8.60000000e+01]
 [-2.21714599e+00  6.17654754e+01 -1.22000000e+02]
 [-1.35483265e+01  6.42855129e+01 -1.34000000e+02]
 [-1.35483265e+01  6.42855129e+01 -1.34000000e+02]
 [ 1.27619513e+01  6.11085800e+01 -1.47000000e+02]
 [ 3.63442667e+01  4.74938356e+01 -2.80000000e+01]
 [-7.04274987e+03  6.99220713e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [ 2.44061395e+01  8.20661665e+01 -1.28000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-8.39699119e+00  6.47654860e+01 -5.40000000e+01]
 [-2.83272934e+02  5.49957037e+01 -2.00000000e+00]
 [ 5.60564737e+00  5.60564737e+00 -2.00000000e+00]
 [-4.20123606e+03  7.41364942e+01 -3.20000000e+01]
 [-3.00668643e+03  6.99220645e+01 -1.60000000e+01]
 [-5.21700386e+03  6.99220721e+01 -5.00000000e+00]
 [-6.47276410e+03  6.99220661e+01 -2.00000000e+00]
 [-3.23398901e+03  7.18477211e+01 -2.20000000e+01]
 [-4.86860652e+03  6.99220534e+01 -1.00000000e+01]
 [-3.40416985e+03  6.99220716e+01 -1.40000000e+01]
 [-3.01724442e+03  6.99220044e+01 -1.50000000e+01]
 [-5.17772795e+03  6.99220653e+01 -9.00000000e+00]
 [-7.04274987e+03  6.99220713e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[ 0.29346179 -0.68744228  0.71219456 ...  0.01834299 -0.82562027
  -0.01900277]
 [ 0.79714657  0.52328653  0.35315848 ...  0.66089254  0.32339407
  -0.33333421]
 [ 0.28855127  0.97420179 -0.62280724 ...  0.46792631 -0.22910626
  -0.83101154]
 ...
 [ 0.13752575  0.12430475 -0.30760379 ... -0.77360777  0.48826811
  -0.95143033]
 [ 0.35048632 -0.51235598 -0.19260438 ... -0.43859839 -0.78838
   0.72229742]
 [ 0.23203446  0.64085146 -0.9066655  ...  0.31114377  0.17594862
  -0.05890519]]",-9660.626579272568
