,generation,objectives,decision_variables,best
0,1,"[[-5.78879152e+02  3.53746834e+01 -2.00000000e+00]
 [-6.79527725e+03  6.99220705e+01 -1.68000000e+02]
 [-8.20656137e+01  2.17179897e+01 -2.00000000e+00]
 [-2.77963027e+03  6.05857809e+01 -1.13000000e+02]
 [-4.25354155e+02  4.50950974e+01 -1.51000000e+02]
 [-1.09170049e+04  5.80827470e+01 -1.50000000e+01]
 [-4.24701845e+02  5.43005471e+01 -4.86000000e+02]
 [-6.36132161e+03  6.67954413e+01 -1.73000000e+02]
 [-1.36177925e+01  1.17550581e+01 -1.40000000e+01]
 [-6.49805575e+01  4.42165254e+01 -3.12000000e+02]
 [-7.25082296e+02  4.59262915e+01 -2.94000000e+02]
 [-6.31238322e+01  1.92878052e+01 -2.70000000e+01]
 [-1.88995498e+02  2.70588725e+01 -3.20000000e+01]
 [-8.39187647e+00  9.68808060e+00 -1.40000000e+01]
 [-5.52928328e+01  0.00000000e+00 -4.00000000e+00]
 [-4.39494256e+02  4.24087650e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.00211812e+04  6.99220637e+01 -4.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-9.19144377e+03  6.99220663e+01 -6.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.07921293e+04  6.99220672e+01 -8.00000000e+00]
 [-7.90579664e+03  7.26090009e+01 -1.00000000e+01]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-9.57258419e+02  6.82139299e+01 -1.07000000e+02]
 [-2.21273899e+03  6.99217780e+01 -2.00000000e+00]
 [-6.33160273e+03  6.99218363e+01 -3.00000000e+01]
 [-3.70132452e+02  4.98147929e+01 -3.00000000e+00]
 [-2.35476787e+01  6.12687412e+01 -3.10000000e+01]
 [ 1.36362963e+00  3.44633597e+01 -2.00000000e+01]
 [-1.40445515e+01  4.60323041e+01 -2.90000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-2.86132778e-01  1.17942934e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [ 1.03879388e+01  1.03879388e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-8.63468132e-02  3.75248057e+01 -4.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-8.45443520e+03  6.99220735e+01 -3.00000000e+00]
 [-7.95286727e+03  6.99220687e+01 -6.00000000e+00]
 [-8.83965664e+03  7.39728546e+01 -5.00000000e+00]
 [-9.34105741e+03  6.99220707e+01 -2.00000000e+00]
 [ 6.34448326e+01  7.08426602e+01 -3.80000000e+01]
 [-1.70683669e+03  6.99220672e+01 -2.00000000e+00]
 [-1.15375968e+01  4.98133664e+01 -1.10000000e+01]
 [-8.78343598e+03  7.41365640e+01 -5.00000000e+00]
 [-8.89587501e+03  6.99220737e+01 -2.00000000e+00]]","[[ 0.65693331 -0.55526211 -0.9101526  ... -0.63194707  0.47562949
  -0.41044652]
 [ 0.48357609  0.13281489 -0.28324195 ...  0.35088666  0.24582102
   0.90902689]
 [ 0.7463908   0.70660983 -0.3268615  ...  0.33025336  0.56771695
  -0.220264  ]
 ...
 [-0.21806215  0.28139772 -0.31895582 ... -0.89838658  0.36378493
  -0.68380117]
 [-0.68511477  0.48906173  0.03100945 ...  0.29310369  0.80023075
   0.8993978 ]
 [ 0.26352199  0.19016563 -0.86909517 ... -0.33204191  0.11920687
  -0.5769725 ]]",-10917.004851095855
1,2,"[[-6.79527725e+03  6.99220705e+01 -1.68000000e+02]
 [-4.25354155e+02  4.50950974e+01 -1.51000000e+02]
 [-4.24701845e+02  5.43005471e+01 -4.86000000e+02]
 [-1.36177925e+01  1.17550581e+01 -1.40000000e+01]
 [-6.49805575e+01  4.42165254e+01 -3.12000000e+02]
 [-7.25082296e+02  4.59262915e+01 -2.94000000e+02]
 [-1.88995498e+02  2.70588725e+01 -3.20000000e+01]
 [-8.39187647e+00  9.68808060e+00 -1.40000000e+01]
 [-5.52928328e+01  0.00000000e+00 -4.00000000e+00]
 [-4.15870875e+01  2.30522458e+01 -5.00000000e+01]
 [-6.63629055e+02  3.53742983e+01 -2.00000000e+00]
 [-1.18208931e+04  4.45368523e+01 -1.80000000e+01]
 [-1.80671462e+04  5.80827470e+01 -1.60000000e+01]
 [-1.11767925e+02  1.31600481e+01 -3.20000000e+01]
 [-1.29891130e+03  5.00472525e+01 -1.12000000e+02]
 [-6.76056075e+03  5.45141306e+01 -4.30000000e+02]
 [-1.03061097e+04  6.99220410e+01 -3.00000000e+01]
 [-4.44682594e+01  2.14029721e+01 -4.80000000e+01]
 [-6.00062248e+01  3.73732003e+01 -1.46000000e+02]
 [-1.65749190e+01  9.25639185e+00 -6.00000000e+00]
 [-4.54947866e+00  1.24049804e+01 -8.00000000e+00]
 [-2.22895719e+01  0.00000000e+00 -2.00000000e+00]
 [-5.78879152e+02  3.53746834e+01 -2.00000000e+00]
 [-6.43168612e+02  3.75245715e+01 -2.00000000e+00]
 [-3.70132452e+02  4.98147929e+01 -3.00000000e+00]
 [-1.09170049e+04  5.80827470e+01 -1.50000000e+01]
 [-1.50094176e+04  6.99220712e+01 -2.00000000e+00]
 [-8.20656137e+01  2.17179897e+01 -2.00000000e+00]
 [-6.31238322e+01  1.92878052e+01 -2.70000000e+01]
 [-1.89169620e+02  5.37806599e+01 -4.00000000e+00]
 [-2.77963027e+03  6.05857809e+01 -1.13000000e+02]
 [-6.36132161e+03  6.67954413e+01 -1.73000000e+02]
 [-2.61276492e+02  5.46734921e+01 -5.00000000e+00]
 [-1.16987312e+03  6.56486392e+01 -3.95000000e+02]
 [-4.85300602e+03  6.25470534e+01 -7.00000000e+01]
 [-3.34914227e+01  4.50654503e+01 -1.35000000e+02]
 [-9.57258419e+02  6.82139299e+01 -1.07000000e+02]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-1.24551708e+04  6.99220734e+01 -2.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [ 2.77542125e+00  2.77542125e+00 -2.00000000e+00]
 [-3.42982763e+03  6.99220651e+01 -3.80000000e+01]
 [-8.08289210e+00  2.44741400e+01 -1.40000000e+01]
 [-6.33160273e+03  6.99218363e+01 -3.00000000e+01]
 [ 1.36362963e+00  3.44633597e+01 -2.00000000e+01]
 [-3.77840848e+00  1.17537207e+01 -2.00000000e+00]
 [-2.35476787e+01  6.12687412e+01 -3.10000000e+01]
 [-8.15421018e+03  6.99220582e+01 -1.00000000e+01]
 [-3.32957760e+02  5.37829724e+01 -3.00000000e+00]
 [-2.21273899e+03  6.99217780e+01 -2.00000000e+00]
 [-1.40445515e+01  4.60323041e+01 -2.90000000e+01]
 [-4.39494256e+02  4.24087650e+01 -2.00000000e+00]
 [-9.25157214e+03  6.99220648e+01 -9.00000000e+00]
 [-4.69067925e+01  4.44429981e+01 -1.80000000e+01]
 [-1.16929636e+04  6.99220727e+01 -2.00000000e+00]
 [-1.02244738e+04  6.99220651e+01 -8.00000000e+00]
 [-9.63214042e+03  6.99220534e+01 -6.00000000e+00]
 [-1.00211812e+04  6.99220637e+01 -4.00000000e+00]
 [-1.08742877e+04  6.99220651e+01 -2.00000000e+00]
 [-1.07921293e+04  6.99220672e+01 -8.00000000e+00]
 [-1.08421935e+04  6.99220643e+01 -6.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[ 0.48357609  0.13281489 -0.28324195 ...  0.35088666  0.24582102
   0.90902689]
 [-0.29965204 -0.11295765 -0.3977702  ...  0.41872655  0.02646826
   0.57787547]
 [-0.61590699 -0.74144768  0.88381478 ...  0.61093805  0.92825238
  -0.37950666]
 ...
 [ 0.80108831 -0.22257579 -0.96048473 ...  0.37376526 -0.70899971
   0.48864922]
 [ 0.81266173 -0.96883862 -0.68855222 ... -0.27791571  0.35326969
   0.08153416]
 [ 0.68490217 -0.63336422 -0.7598935  ... -0.68992988  0.57312769
   0.52588693]]",-18067.146157424628
2,3,"[[-6.79527725e+03  6.99220705e+01 -1.68000000e+02]
 [-4.25354155e+02  4.50950974e+01 -1.51000000e+02]
 [-4.24701845e+02  5.43005471e+01 -4.86000000e+02]
 [-1.36177925e+01  1.17550581e+01 -1.40000000e+01]
 [-6.49805575e+01  4.42165254e+01 -3.12000000e+02]
 [-7.25082296e+02  4.59262915e+01 -2.94000000e+02]
 [-1.88995498e+02  2.70588725e+01 -3.20000000e+01]
 [-8.39187647e+00  9.68808060e+00 -1.40000000e+01]
 [-5.52928328e+01  0.00000000e+00 -4.00000000e+00]
 [-6.63629055e+02  3.53742983e+01 -2.00000000e+00]
 [-1.18208931e+04  4.45368523e+01 -1.80000000e+01]
 [-1.80671462e+04  5.80827470e+01 -1.60000000e+01]
 [-1.11767925e+02  1.31600481e+01 -3.20000000e+01]
 [-1.29891130e+03  5.00472525e+01 -1.12000000e+02]
 [-6.76056075e+03  5.45141306e+01 -4.30000000e+02]
 [-6.00062248e+01  3.73732003e+01 -1.46000000e+02]
 [-1.65749190e+01  9.25639185e+00 -6.00000000e+00]
 [-7.07536677e+02  3.53746289e+01 -6.00000000e+00]
 [-7.05874829e+02  3.53745067e+01 -4.00000000e+00]
 [-1.54532694e+04  6.04042962e+01 -2.30000000e+01]
 [-1.11767925e+02  1.31600481e+01 -3.20000000e+01]
 [-5.18416807e+01  3.66317861e+01 -1.34000000e+02]
 [-1.63283639e+04  6.06805214e+01 -2.20000000e+01]
 [-8.61912235e+01  1.90745204e+01 -1.18000000e+02]
 [-3.61410600e+02  3.53733732e+01 -2.00000000e+00]
 [-1.02789342e+04  5.80827122e+01 -6.90000000e+01]
 [-1.14876385e+04  6.22538103e+01 -9.40000000e+01]
 [-2.70662771e+02  5.22290574e+01 -1.62000000e+02]
 [-4.54947866e+00  1.24049804e+01 -8.00000000e+00]
 [-2.13278603e+00  1.05063843e+01 -1.00000000e+01]
 [-2.22895719e+01  0.00000000e+00 -2.00000000e+00]
 [-1.09170049e+04  5.80827470e+01 -1.50000000e+01]
 [-2.77963027e+03  6.05857809e+01 -1.13000000e+02]
 [-6.36132161e+03  6.67954413e+01 -1.73000000e+02]
 [-1.16987312e+03  6.56486392e+01 -3.95000000e+02]
 [-4.86915963e+03  5.54239746e+01 -4.00000000e+01]
 [-5.56211307e+03  6.20725903e+01 -7.60000000e+01]
 [-4.22849660e+01  5.76065969e+01 -3.36000000e+02]
 [-4.38252462e+03  7.44975683e+01 -2.13000000e+02]
 [-8.53473491e+02  6.11979303e+01 -2.31000000e+02]
 [-3.34914227e+01  4.50654503e+01 -1.35000000e+02]
 [-5.78879152e+02  3.53746834e+01 -2.00000000e+00]
 [-6.43168612e+02  3.75245715e+01 -2.00000000e+00]
 [-3.70132452e+02  4.98147929e+01 -3.00000000e+00]
 [-4.82849022e+01  1.48364383e+01 -2.00000000e+00]
 [-1.50094176e+04  6.99220712e+01 -2.00000000e+00]
 [-1.31413761e+04  6.99220672e+01 -4.00000000e+00]
 [-4.15870875e+01  2.30522458e+01 -5.00000000e+01]
 [-4.44682594e+01  2.14029721e+01 -4.80000000e+01]
 [-8.20656137e+01  2.17179897e+01 -2.00000000e+00]
 [-6.31238322e+01  1.92878052e+01 -2.70000000e+01]
 [-1.04760400e+04  6.54829956e+01 -6.90000000e+01]
 [-6.39652154e+03  6.99220705e+01 -7.30000000e+01]
 [-1.05294553e+04  6.99219255e+01 -1.60000000e+01]
 [-1.89169620e+02  5.37806599e+01 -4.00000000e+00]
 [-2.61276492e+02  5.46734921e+01 -5.00000000e+00]
 [-7.31048292e+01  6.00501292e+01 -5.00000000e+01]
 [-3.77840848e+00  1.17537207e+01 -2.00000000e+00]
 [-3.62701231e+00  0.00000000e+00 -2.00000000e+00]
 [-1.08742877e+04  6.99220651e+01 -2.00000000e+00]
 [-1.07921293e+04  6.99220672e+01 -8.00000000e+00]
 [-1.08421935e+04  6.99220643e+01 -6.00000000e+00]
 [-9.57258419e+02  6.82139299e+01 -1.07000000e+02]
 [-4.85300602e+03  6.25470534e+01 -7.00000000e+01]
 [-9.17251456e+00  6.00484240e+01 -2.34000000e+02]
 [-5.31816504e+02  6.99205248e+01 -1.17000000e+02]
 [-4.39494256e+02  4.24087650e+01 -2.00000000e+00]
 [-3.32957760e+02  5.37829724e+01 -3.00000000e+00]
 [-1.24551708e+04  6.99220734e+01 -2.00000000e+00]
 [-1.16929636e+04  6.99220727e+01 -2.00000000e+00]
 [-1.40445515e+01  4.60323041e+01 -2.90000000e+01]
 [-8.08289210e+00  2.44741400e+01 -1.40000000e+01]
 [ 1.36362963e+00  3.44633597e+01 -2.00000000e+01]
 [-4.69067925e+01  4.44429981e+01 -1.80000000e+01]
 [ 3.44841956e+00  1.96933706e+01 -1.40000000e+01]
 [-1.03061097e+04  6.99220410e+01 -3.00000000e+01]
 [-6.33160273e+03  6.99218363e+01 -3.00000000e+01]
 [-7.08305717e+03  6.99219433e+01 -2.60000000e+01]
 [-6.31991844e+03  6.84482370e+01 -2.80000000e+01]
 [-7.30385935e+03  6.68132018e+01 -8.00000000e+00]
 [-8.07553555e+03  6.99220385e+01 -1.60000000e+01]
 [-3.42982763e+03  6.99220651e+01 -3.80000000e+01]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]
 [ 3.07744737e+01  3.07744737e+01 -1.00000000e+01]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-1.02310064e+04  6.99220651e+01 -2.00000000e+00]
 [-2.35476787e+01  6.12687412e+01 -3.10000000e+01]
 [ 2.73887570e+01  3.76457915e+01 -1.20000000e+01]
 [-8.15421018e+03  6.99220582e+01 -1.00000000e+01]
 [ 1.38488351e+00  1.38488351e+00 -2.00000000e+00]
 [ 6.05426462e+00  4.62782873e+01 -4.00000000e+00]
 [-6.33100653e+02  6.99217599e+01 -2.00000000e+00]
 [-2.21273899e+03  6.99217780e+01 -2.00000000e+00]
 [-9.63214042e+03  6.99220534e+01 -6.00000000e+00]
 [-9.23137033e+03  6.99220651e+01 -1.10000000e+01]
 [-1.00211812e+04  6.99220637e+01 -4.00000000e+00]
 [-1.02244738e+04  6.99220651e+01 -8.00000000e+00]
 [-9.25157214e+03  6.99220648e+01 -9.00000000e+00]
 [-0.00000000e+00  0.00000000e+00 -0.00000000e+00]]","[[ 0.48357609  0.13281489 -0.28324195 ...  0.35088666  0.24582102
   0.90902689]
 [-0.29965204 -0.11295765 -0.3977702  ...  0.41872655  0.02646826
   0.57787547]
 [-0.61590699 -0.74144768  0.88381478 ...  0.61093805  0.92825238
  -0.37950666]
 ...
 [ 0.37177094 -0.68907381  0.64798439 ...  0.07972939 -0.93762735
  -0.46048626]
 [-0.27717771  0.14352633  0.43424188 ... -0.9831631  -0.31467994
  -0.12213993]
 [ 0.19244125  0.56313189  0.87196701 ... -0.97548735  0.53260155
   0.48777955]]",-18067.146157424628
