,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-2664.946296283772,39.35899082511449,-23.71,-10786.501095264972
1,2,-1025.06685825782,15.710325960014844,-49.23,-10786.501095264972
2,3,-1533.7965170914395,24.738218816747768,-75.68,-19780.447750577925
3,4,-2194.2808698934077,35.907067093149195,-114.77,-19780.447750577925
4,5,-2591.91747334951,41.47443849820051,-139.81,-19780.447750577925
5,6,-2942.154269834074,40.79752873707732,-164.19,-22585.2805181095
6,7,-2900.0342343407146,39.511160363789344,-178.89,-22585.2805181095
7,8,-3001.8585494297918,37.42183277304281,-167.01,-22585.2805181095
8,9,-3102.837183878397,36.58186690439521,-169.83,-22585.2805181095
9,10,-3347.982338546197,37.338435585018075,-172.77,-22585.2805181095
