,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-458.10109454320934,19.41345365168492,-36.81,-1446.534289873123
1,2,-524.917240642214,26.939617455956025,-72.74,-1458.357145833969
2,3,-556.26488858881,31.004210038544908,-120.24,-1660.1261290073396
3,4,-495.48031728750226,28.62363366595577,-142.45,-1667.5336433019638
4,5,-606.8949991538623,28.844547802753155,-139.27,-1732.2119368801118
5,6,-546.0560365110109,26.604604799500365,-158.94,-1732.2119368801118
6,7,-544.5154460661793,26.324857653278656,-191.36,-2029.651862859726
7,8,-554.3810230876255,25.40330152382827,-187.56,-2029.651862859726
8,9,-524.7141655054094,23.984424658179442,-195.68,-2306.3152553691866
9,10,-538.9678866482353,22.834145515786933,-185.4,-2306.3152553691866
