,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-4029.0533005417406,32.706593563203356,-20.91,-16285.253716985404
1,2,-748.5047761346972,8.894564895838439,-29.03,-17202.08381636393
2,3,-1927.6979536533822,22.415203072464152,-53.05,-20316.957760758105
3,4,-2011.6538771846367,22.51120172830697,-73.68,-20316.957760758105
4,5,-3054.423097015231,34.81824465748249,-105.06,-21746.67907521194
5,6,-3400.884130062186,42.48956314505083,-141.31,-21746.67907521194
6,7,-3872.0441928581176,43.91767915471518,-161.9,-21746.67907521194
7,8,-3908.430696388488,44.19689788127116,-166.29,-21746.67907521194
8,9,-4007.5968872470044,43.53674574267043,-176.96,-21746.67907521194
9,10,-4423.7439336320795,42.3404886820438,-159.68,-21746.67907521194
