,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-2128.61946495001,34.197827634793924,-26.52,-9606.599600208223
1,2,-1502.7684208019198,32.03045965131461,-62.91,-9606.599600208223
2,3,-2026.1344709449795,43.27454542210913,-89.15,-9606.599600208223
3,4,-2039.6678847873343,43.23266404685338,-111.56,-11996.962850284517
4,5,-2397.9938993428545,42.15240878216815,-145.1,-13597.71135982412
5,6,-3006.456047342001,43.603201754386966,-151.47,-22814.711258098545
6,7,-3192.240826012766,42.340807943402496,-161.09,-22814.711258098545
7,8,-3441.2197231779655,41.775215340016075,-168.51,-22814.711258098545
8,9,-3441.358504916653,41.24420075586535,-173.94,-22814.711258098545
9,10,-3564.1982527837686,42.0671258115936,-193.87,-22814.711258098545
