,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-2280.035983159888,38.14201291936979,-20.6,-15341.11622275543
1,2,-1627.8988857876561,34.94242637345036,-38.26,-15341.11622275543
2,3,-2184.879667367051,51.073562926413736,-67.82,-15341.11622275543
3,4,-2273.7966825009676,47.95745937927424,-100.85,-15341.11622275543
4,5,-2429.840131372267,46.3202413197341,-127.11,-15341.11622275543
5,6,-2379.063301422618,43.625353420901874,-139.06,-15341.11622275543
6,7,-2391.1802333384226,41.39113703993258,-145.78,-15341.11622275543
7,8,-2650.897571580063,40.30115150105828,-145.64,-15341.11622275543
8,9,-3061.037518117858,39.168863093728376,-158.4,-17897.672694581626
9,10,-3239.8121281331596,40.09665040025084,-168.97,-17897.672694581626
