,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3954.6325082012586,33.1950921431105,-24.66,-18505.48910975981
1,2,-2606.9712810142087,26.56072232181754,-48.5,-18505.48910975981
2,3,-2761.211255636208,30.68034574608614,-88.73,-18505.48910975981
3,4,-3403.1808567107178,41.65924382223513,-111.58,-18505.48910975981
4,5,-3224.604890675538,42.71995125101602,-132.5,-18505.48910975981
5,6,-3205.746442137045,41.83341982174653,-142.97,-18505.48910975981
6,7,-3279.0403069703225,41.024218528728994,-148.25,-18505.48910975981
7,8,-3189.542967859527,40.164699901466356,-151.5,-18505.48910975981
8,9,-3354.0457821782143,40.520743719340594,-159.86,-18505.48910975981
9,10,-3273.7030705087254,40.50271307392822,-165.69,-18505.48910975981
