,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-4063.809812589781,38.33959415499312,-23.07,-13345.28601035893
1,2,-2487.837221867342,29.313095169476252,-45.57,-13345.28601035893
2,3,-3728.89654090373,46.10123445061674,-81.84,-14391.673093973279
3,4,-4416.746378447501,47.36754524988055,-100.11,-14391.673093973279
4,5,-3690.1753792159884,45.25099118579694,-126.62,-19264.12127529973
5,6,-4255.9303033562055,45.46201120890811,-143.94,-21403.951715982555
6,7,-4409.173750403164,43.600889928811085,-138.54,-21403.951715982555
7,8,-4588.992442034052,44.35264695481474,-151.97,-21403.951715982555
8,9,-4736.531494554832,44.810271775338194,-161.17,-21403.951715982555
9,10,-4317.172638460966,42.42441157748291,-173.11,-30449.344081188385
