,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-2144.9291203334446,37.719349864789834,-25.88,-18140.76379069674
1,2,-1330.8472015238792,27.254170613106368,-57.25,-18140.76379069674
2,3,-2016.2813987200466,39.81275365620534,-87.47,-19590.874088558317
3,4,-2063.1372286379083,42.94268385241718,-104.69,-19590.874088558317
4,5,-1953.757788640613,42.9993332518735,-132.99,-19590.874088558317
5,6,-1821.4856073195615,39.51729222812385,-145.99,-19590.874088558317
6,7,-2074.7581859071415,41.182520702606695,-162.23,-19590.874088558317
7,8,-2216.514743049718,41.503111818196004,-163.8,-19590.874088558317
8,9,-2024.1319995852757,39.042092512593925,-169.37,-19590.874088558317
9,10,-2206.813501687374,38.8612072629233,-188.08,-19590.874088558317
