0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0.0029403921,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0029262262,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0031522766,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0032366756,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0032148391,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0033204874,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.003364161,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0035577444,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0035884418,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
0.0038003144,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.6069997,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.57076687,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.0027153797,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.54060984,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.45566636,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.0007030665,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.6799642,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.5501466,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891,0.0012003891
