timestamp,adjclose
2022-01-03,83.39852905273438
2022-01-04,80.15770721435547
2022-01-05,72.78424835205078
2022-01-06,72.5844497680664
2022-01-07,70.21110534667969
2022-01-10,70.46939849853516
2022-01-11,73.56887817382812
2022-01-12,74.40708923339844
2022-01-13,69.00736999511719
2022-01-14,70.05027770996094
2022-01-18,65.00143432617188
2022-01-19,62.740177154541016
2022-01-20,60.3132209777832
2022-01-21,55.23513412475586
2022-01-24,56.03437423706055
2022-01-25,51.901729583740234
2022-01-26,51.80426025390625
2022-01-27,50.254520416259766
2022-01-28,54.94273376464844
2022-01-31,60.26449203491211
2022-02-01,61.41461181640625
2022-02-02,62.866886138916016
2022-02-03,55.30337142944336
2022-02-04,57.213741302490234
2022-02-07,55.91740798950195
2022-02-08,57.81804275512695
2022-02-09,61.40486526489258
2022-02-10,57.33069610595703
2022-02-11,51.93096923828125
2022-02-14,52.07717514038086
2022-02-15,55.849185943603516
2022-02-16,55.83943557739258
2022-02-17,50.888057708740234
2022-02-18,49.162879943847656
2022-02-22,47.64237976074219
2022-02-23,43.9970703125
2022-02-24,48.30516052246094
2022-02-25,50.59566116333008
2022-02-28,51.13173294067383
2022-03-01,48.77300262451172
2022-03-02,51.10249328613281
2022-03-03,48.96794128417969
2022-03-04,46.87238311767578
2022-03-07,41.63834762573242
2022-03-08,41.06328582763672
2022-03-09,45.45909118652344
2022-03-10,43.9970703125
2022-03-11,41.267967224121094
2022-03-14,38.85075759887695
2022-03-15,42.447330474853516
2022-03-16,47.2135124206543
2022-03-17,48.792503356933594
2022-03-18,51.823760986328125
2022-03-21,51.45337677001953
2022-03-22,54.494380950927734
2022-03-23,52.194129943847656
2022-03-24,55.57627487182617
2022-03-25,55.488555908203125
2022-03-28,58.012977600097656
2022-03-29,60.98575210571289
2022-03-30,59.153350830078125
2022-03-31,56.706905364990234
2022-04-01,56.46323776245117
2022-04-04,59.991573333740234
2022-04-05,56.024627685546875
2022-04-06,52.34033966064453
2022-04-07,52.68147659301758
2022-04-08,50.527435302734375
2022-04-11,46.940608978271484
2022-04-12,46.336307525634766
2022-04-13,49.11414337158203
2022-04-14,45.80997848510742
2022-04-18,45.93668746948242
2022-04-19,48.88996505737305
2022-04-20,46.687191009521484
2022-04-21,43.948341369628906
2022-04-22,40.45897674560547
2022-04-25,41.95998764038086
2022-04-26,37.24253463745117
2022-04-27,37.076847076416016
2022-04-28,40.995059967041016
2022-04-29,35.60507583618164
2022-05-02,37.28152847290039
2022-05-03,37.36924362182617
2022-05-04,41.07303237915039
2022-05-05,34.9520378112793
2022-05-06,33.73368835449219
2022-05-09,29.747243881225586
2022-05-10,30.770660400390625
2022-05-11,28.031808853149414
2022-05-12,27.80763053894043
2022-05-13,30.829137802124023
2022-05-16,29.87395668029785
2022-05-17,32.125465393066406
2022-05-18,27.437252044677734
2022-05-19,26.881685256958008
2022-05-20,26.647764205932617
2022-05-23,27.963581085205078
2022-05-24,26.218902587890625
2022-05-25,27.271556854248047
2022-05-26,29.552310943603516
2022-05-27,32.447113037109375
2022-05-31,32.21318435668945
2022-06-01,31.462682723999023
2022-06-02,34.0163459777832
2022-06-03,31.32622718811035
2022-06-06,31.716102600097656
2022-06-07,32.48609924316406
2022-06-08,31.823312759399414
2022-06-09,29.23066520690918
2022-06-10,26.11168670654297
2022-06-13,22.495624542236328
2022-06-14,22.64182472229004
2022-06-15,24.269542694091797
2022-06-16,21.306514739990234
2022-06-17,22.09600257873535
2022-06-21,23.762704849243164
2022-06-22,23.67498779296875
2022-06-23,24.68865203857422
2022-06-24,27.271556854248047
2022-06-27,26.628265380859375
2022-06-28,24.20131492614746
2022-06-29,24.25004768371582
2022-06-30,23.392330169677734
2022-07-01,23.77245330810547
2022-07-05,25.000551223754883
2022-07-06,25.478145599365234
2022-07-07,27.05712890625
2022-07-08,27.183834075927734
2022-07-11,25.44890594482422
2022-07-12,24.708147048950195
2022-07-13,24.552200317382812
2022-07-14,24.80561637878418
2022-07-15,26.11168670654297
2022-07-18,25.507387161254883
2022-07-19,27.739402770996094
2022-07-20,29.133197784423828
2022-07-21,30.371042251586914
2022-07-22,28.782310485839844
2022-07-25,28.353452682495117
2022-07-26,26.63801383972168
2022-07-27,29.9616756439209
2022-07-28,30.819395065307617
2022-07-29,32.515342712402344
2022-08-01,32.46660614013672
2022-08-02,32.164451599121094
2022-08-03,34.73760986328125
2022-08-04,35.23469924926758
2022-08-05,34.39647674560547
2022-08-08,34.04558563232422
2022-08-09,32.8759651184082
2022-08-10,35.575836181640625
2022-08-11,35.039756774902344
2022-08-12,37.01836013793945
2022-08-15,37.90532302856445
2022-08-16,37.66164779663086
2022-08-17,36.35557556152344
2022-08-18,36.599246978759766
2022-08-19,34.45494842529297
2022-08-22,31.745342254638672
2022-08-23,31.63812255859375
2022-08-24,31.881797790527344
2022-08-25,33.55824661254883
2022-08-26,29.474332809448242
2022-08-29,28.567882537841797
2022-08-30,27.612693786621094
2022-08-31,27.10586166381836
2022-09-01,27.135103225708008
2022-09-02,26.004474639892578
2022-09-06,25.40991973876953
2022-09-07,26.910926818847656
2022-09-08,27.349531173706055
2022-09-09,29.08446502685547
2022-09-12,30.14686393737793
2022-09-13,25.18574333190918
2022-09-14,25.751054763793945
2022-09-15,24.454730987548828
2022-09-16,23.977140426635742
2022-09-19,24.552200317382812
2022-09-20,23.967388153076172
2022-09-21,22.65157127380371
2022-09-22,21.813344955444336
2022-09-23,20.770435333251953
2022-09-26,20.487781524658203
2022-09-27,20.50727653503418
2022-09-28,21.706130981445312
