,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0.00013116763,-0.00018038493,0.00017068628,0.00057516433,0.0006005366,0.00026214117,0.00061756495,-0.000219426,-0.0002623494,-0.000104178755,0.00028294305,0.00010357647,0.003958245,0.0034260245,0.0036123628,0.0040989732,0.0045760917,0.0046669827,0.000105581224,8.78235e-05,0.000392591,0.00079184165,0.0009893812,0.0009923712,0.0002074957,-0.00016530803,-0.0002112754,-0.00018282593,4.9002574e-05,-8.2247774e-05,0.0038115594,0.003742135,0.003986667,0.0043477914,0.00468702,0.004797944,0.00057521847,0.0005801952,0.0006123036,0.0006137133,0.00055621314,0.0004902871,5.702389e-05,-2.9559955e-05,-1.0882204e-05,1.4997558e-05,5.1899617e-05,1.8913459e-05,0.004348763,0.0044854213,0.0047046365,0.004913395,0.0050700395,0.005155124
1,0.00054734846,-0.0004863973,3.9041075e-05,0.0004330357,0.0006793431,0.00031759354,0.00041618082,-0.00030601237,-0.00013164521,-0.00014212866,7.88065e-05,5.5452398e-05,0.0045511425,0.0032425772,0.0035313547,0.0038267418,0.004398843,0.004614492,0.00025012592,-0.00010191448,0.00025313153,0.0006038664,0.0009746676,0.00094037864,0.00014454468,-0.00018973798,-0.00013945946,-0.00018797527,-1.4713594e-05,-5.199257e-05,0.004014287,0.0035832943,0.0038746963,0.004150597,0.004566215,0.0047398815,0.0006054434,0.0005181946,0.00060975517,0.0006231858,0.00059871573,0.00050431356,3.0224932e-05,-6.200068e-05,-2.5484185e-06,9.472542e-06,4.2502557e-05,1.4026434e-05,0.004351897,0.0043514934,0.004602683,0.0048112334,0.0050069946,0.0051121227
2,0.0012608343,0.00013116763,-0.00018038493,0.00017068628,0.00057516433,0.0006005366,0.0007134859,0.00061756495,-0.000219426,-0.0002623494,-0.000104178755,0.00028294305,0.005172369,0.003958245,0.0034260245,0.0036123628,0.0040989732,0.0045760917,0.0005504995,0.000105581224,8.78235e-05,0.000392591,0.00079184165,0.0009893812,0.00030037353,0.0002074957,-0.00016530803,-0.0002112754,-0.00018282593,4.9002574e-05,0.004268305,0.0038115594,0.003742135,0.003986667,0.0043477914,0.00468702,0.00068694167,0.00057521847,0.0005801952,0.0006123036,0.0006137133,0.00055621314,8.1498314e-05,5.702389e-05,-2.9559955e-05,-1.0882204e-05,1.4997558e-05,5.1899617e-05,0.004385743,0.004348763,0.0044854213,0.0047046365,0.004913395,0.0050700395
3,0.0017529493,0.00054734846,-0.0004863973,3.9041075e-05,0.0004330357,0.0006793431,0.00049211504,0.00041618082,-0.00030601237,-0.00013164521,-0.00014212866,7.88065e-05,0.0055033425,0.0045511425,0.0032425772,0.0035313547,0.0038267418,0.004398843,0.00082136743,0.00025012592,-0.00010191448,0.00025313153,0.0006038664,0.0009746676,0.00027086795,0.00014454468,-0.00018973798,-0.00013945946,-0.00018797527,-1.4713594e-05,0.0044628205,0.004014287,0.0035832943,0.0038746963,0.004150597,0.004566215,0.00076726545,0.0006054434,0.0005181946,0.00060975517,0.0006231858,0.00059871573,8.032377e-05,3.0224932e-05,-6.200068e-05,-2.5484185e-06,9.472542e-06,4.2502557e-05,0.0044159456,0.004351897,0.0043514934,0.004602683,0.0048112334,0.0050069946
4,0.0017489793,0.0012608343,0.00013116763,-0.00018038493,0.00017068628,0.00057516433,-3.9700617e-06,0.0007134859,0.00061756495,-0.000219426,-0.0002623494,-0.000104178755,0.005500463,0.005172369,0.003958245,0.0034260245,0.0036123628,0.0040989732,0.0009425609,0.0005504995,0.000105581224,8.78235e-05,0.000392591,0.00079184165,0.00012119348,0.00030037353,0.0002074957,-0.00016530803,-0.0002112754,-0.00018282593,0.0045804903,0.004268305,0.0038115594,0.003742135,0.003986667,0.0043477914,0.00081244373,0.00068694167,0.00057521847,0.0005801952,0.0006123036,0.0006137133,4.517824e-05,8.1498314e-05,5.702389e-05,-2.9559955e-05,-1.0882204e-05,1.4997558e-05,0.004437913,0.004385743,0.004348763,0.0044854213,0.0047046365,0.004913395
5,0.0017541101,0.0017529493,0.00054734846,-0.0004863973,3.9041075e-05,0.0004330357,5.130841e-06,0.00049211504,0.00041618082,-0.00030601237,-0.00013164521,-0.00014212866,0.0054701953,0.0055033425,0.0045511425,0.0032425772,0.0035313547,0.0038267418,0.0010141163,0.00082136743,0.00025012592,-0.00010191448,0.00025313153,0.0006038664,7.155542e-05,0.00027086795,0.00014454468,-0.00018973798,-0.00013945946,-0.00018797527,0.0046473634,0.0044628205,0.004014287,0.0035832943,0.0038746963,0.004150597,0.0008650519,0.00076726545,0.0006054434,0.0005181946,0.00060975517,0.0006231858,5.2608186e-05,8.032377e-05,3.0224932e-05,-6.200068e-05,-2.5484185e-06,9.472542e-06,0.004464291,0.0044159456,0.004351897,0.0043514934,0.004602683,0.0048112334
6,0.0016015507,0.0017489793,0.0012608343,0.00013116763,-0.00018038493,0.00017068628,-0.00015255943,-3.9700617e-06,0.0007134859,0.00061756495,-0.000219426,-0.0002623494,0.005380721,0.005500463,0.005172369,0.003958245,0.0034260245,0.0036123628,0.0010516986,0.0009425609,0.0005504995,0.000105581224,8.78235e-05,0.000392591,3.7582293e-05,0.00012119348,0.00030037353,0.0002074957,-0.00016530803,-0.0002112754,0.004718633,0.0045804903,0.004268305,0.0038115594,0.003742135,0.003986667,0.0008996959,0.00081244373,0.00068694167,0.00057521847,0.0005801952,0.0006123036,3.4644007e-05,4.517824e-05,8.1498314e-05,5.702389e-05,-2.9559955e-05,-1.0882204e-05,0.0044880346,0.004437913,0.004385743,0.004348763,0.0044854213,0.0047046365
7,0.0016596497,0.0017541101,0.0017529493,0.00054734846,-0.0004863973,3.9041075e-05,5.8098925e-05,5.130841e-06,0.00049211504,0.00041618082,-0.00030601237,-0.00013164521,0.005355351,0.0054701953,0.0055033425,0.0045511425,0.0032425772,0.0035313547,0.0011706933,0.0010141163,0.00082136743,0.00025012592,-0.00010191448,0.00025313153,0.00011899475,7.155542e-05,0.00027086795,0.00014454468,-0.00018973798,-0.00013945946,0.0048292717,0.0046473634,0.0044628205,0.004014287,0.0035832943,0.0038746963,0.0009639617,0.0008650519,0.00076726545,0.0006054434,0.0005181946,0.00060975517,6.426579e-05,5.2608186e-05,8.032377e-05,3.0224932e-05,-6.200068e-05,-2.5484185e-06,0.0045233234,0.004464291,0.0044159456,0.004351897,0.0043514934,0.004602683
8,0.0015097613,0.0016015507,0.0017489793,0.0012608343,0.00013116763,-0.00018038493,-0.00014988829,-0.00015255943,-3.9700617e-06,0.0007134859,0.00061756495,-0.000219426,0.0051519936,0.005380721,0.005500463,0.005172369,0.003958245,0.0034260245,0.0012331676,0.0010516986,0.0009425609,0.0005504995,0.000105581224,8.78235e-05,6.24742e-05,3.7582293e-05,0.00012119348,0.00030037353,0.0002074957,-0.00016530803,0.004906157,0.004718633,0.0045804903,0.004268305,0.0038115594,0.003742135,0.0009967362,0.0008996959,0.00081244373,0.00068694167,0.00057521847,0.0005801952,3.2774526e-05,3.4644007e-05,4.517824e-05,8.1498314e-05,5.702389e-05,-2.9559955e-05,0.004535203,0.0044880346,0.004437913,0.004385743,0.004348763,0.0044854213
9,0.0016080252,0.0016596497,0.0017541101,0.0017529493,0.00054734846,-0.0004863973,9.8263816e-05,5.8098925e-05,5.130841e-06,0.00049211504,0.00041618082,-0.00030601237,0.0051206024,0.005355351,0.0054701953,0.0055033425,0.0045511425,0.0032425772,0.0014123373,0.0011706933,0.0010141163,0.00082136743,0.00025012592,-0.00010191448,0.00017916967,0.00011899475,7.155542e-05,0.00027086795,0.00014454468,-0.00018973798,0.0050403974,0.0048292717,0.0046473634,0.0044628205,0.004014287,0.0035832943,0.0010640314,0.0009639617,0.0008650519,0.00076726545,0.0006054434,0.0005181946,6.7295194e-05,6.426579e-05,5.2608186e-05,8.032377e-05,3.0224932e-05,-6.200068e-05,0.004567846,0.0045233234,0.004464291,0.0044159456,0.004351897,0.0043514934
